ENSEMBL ID	name
ENSG00000011451	WIZ
ENSG00000011454	RABGAP1
ENSG00000011478	QPCTL
ENSG00000011485	PPP5C
ENSG00000012061	ERCC1
ENSG00000012822	CALCOCO1
ENSG00000013275	PSMC4
ENSG00000013306	SLC25A39
ENSG00000013364	MVP
ENSG00000013375	PGM3
ENSG00000013503	POLR3B
ENSG00000013583	HEBP1
ENSG00000014123	KIAA0776
ENSG00000014138	POLA2
ENSG00000014216	CAPN1
ENSG00000014641	MDH1
ENSG00000015133	CCDC88C
ENSG00000015153	YAF2
ENSG00000015171	ZMYND11
ENSG00000015475	BID
ENSG00000015479	MATR3
ENSG00000015676	NUDCD3
ENSG00000016864	GLT8D1
ENSG00000017260	ATP2C1
ENSG00000017483	SLC38A5
ENSG00000018510	AGPS
ENSG00000018610	CXorf56
ENSG00000018699	TTC27
ENSG00000020129	NCDN
ENSG00000020577	SAMD4A
ENSG00000020922	MRE11A
ENSG00000021355	SERPINB1
ENSG00000021574	SPAST
ENSG00000021762	OSBPL5
ENSG00000021776	AQR
ENSG00000021826	CPS1
ENSG00000022277	C20orf43
ENSG00000023171	GRAMD1B
ENSG00000023191	RNH1
ENSG00000023228	NDUFS1
ENSG00000023318	ERP44
ENSG00000023697	DERA
ENSG00000023734	STRAP
ENSG00000023909	GCLM
ENSG00000024048	UBR2
ENSG00000024422	EHD2
ENSG00000025708	TYMP
ENSG00000025770	NCAPH2
ENSG00000025772	TOMM34
ENSG00000025796	SEC63
ENSG00000025800	KPNA6
ENSG00000026025	VIM
ENSG00000026103	FAS
ENSG00000026508	CD44
ENSG00000027001	MIPEP
ENSG00000028116	VRK2
ENSG00000028310	BRD9
ENSG00000028528	SNX1
ENSG00000029363	BCLAF1
ENSG00000029364	SLC39A9
ENSG00000029639	TFB1M
ENSG00000029993	HMGB3
ENSG00000030066	NUP160
ENSG00000030582	GRN
ENSG00000031698	SARS
ENSG00000031823	RANBP3
ENSG00000032389	TSSC1
ENSG00000032444	PNPLA6
ENSG00000033011	ALG1
ENSG00000033030	ZCCHC8
ENSG00000033050	ABCF2
ENSG00000033100	CHPF2
ENSG00000033178	UBA6
ENSG00000033627	ATP6V0A1
ENSG00000033867	SLC4A7
ENSG00000034063	UHRF1
ENSG00000034510	TMSB10
ENSG00000034677	RNF19A
ENSG00000034693	PEX3
ENSG00000034713	GABARAPL2
ENSG00000035141	FAM136A
ENSG00000035403	VCL
ENSG00000035687	ADSS
ENSG00000035862	TIMP2
ENSG00000035928	RFC1
ENSG00000036054	TBC1D23
ENSG00000036257	CUL3
ENSG00000037241	RPL26L1
ENSG00000037474	NSUN2
ENSG00000037757	MRI1
ENSG00000037897	METTL1
ENSG00000038219	BOD1L
ENSG00000038274	MAT2B
ENSG00000038358	EDC4
ENSG00000038382	TRIO
ENSG00000038427	VCAN
ENSG00000039123	SKIV2L2
ENSG00000039139	DNAH5
ENSG00000039523	FAM65A
ENSG00000039560	RAI14
ENSG00000039650	PNKP
ENSG00000040341	STAU2
ENSG00000040633	PHF23
ENSG00000040731	CDH10
ENSG00000040933	INPP4A
ENSG00000041353	RAB27B
ENSG00000041357	PSMA4
ENSG00000041802	LSG1
ENSG00000042088	TDP1
ENSG00000042286	AIFM2
ENSG00000042429	MED17
ENSG00000042445	RETSAT
ENSG00000042493	CAPG
ENSG00000043093	DCUN1D1
ENSG00000043514	TRIT1
ENSG00000044090	CUL7
ENSG00000044115	CTNNA1
ENSG00000044574	HSPA5
ENSG00000046604	DSG2
ENSG00000046647	GEMIN8
ENSG00000046651	OFD1
ENSG00000047188	YTHDC2
ENSG00000047230	CTPS2
ENSG00000047249	ATP6V1H
ENSG00000047315	POLR2B
ENSG00000047410	TPR
ENSG00000047849	MAP4
ENSG00000047932	GOPC
ENSG00000048162	NOP16
ENSG00000048649	RSF1
ENSG00000048828	FAM120A
ENSG00000048991	R3HDM1
ENSG00000049167	ERCC8
ENSG00000049449	RCN1
ENSG00000049541	RFC2
ENSG00000049656	CLPTM1L
ENSG00000049860	HEXB
ENSG00000050327	ARHGEF5
ENSG00000050393	CCDC90A
ENSG00000050405	LIMA1
ENSG00000050820	BCAR1
ENSG00000051128	HOMER3
ENSG00000051341	POLQ
ENSG00000051596	THOC3
ENSG00000052749	RRP12
ENSG00000052802	SC4MOL
ENSG00000052841	TTC17
ENSG00000053371	AKR7A2
ENSG00000053372	MRTO4
ENSG00000053501	USE1
ENSG00000053900	ANAPC4
ENSG00000054116	TRAPPC3
ENSG00000054118	THRAP3
ENSG00000054148	PHPT1
ENSG00000054179	ENTPD2
ENSG00000054267	ARID4B
ENSG00000054654	SYNE2
ENSG00000055044	NOP58
ENSG00000055130	CUL1
ENSG00000055147	FAM114A2
ENSG00000055332	EIF2AK2
ENSG00000055483	USP36
ENSG00000055950	MRPL43
ENSG00000055955	ITIH4
ENSG00000056050	C4orf27
ENSG00000056097	ZFR
ENSG00000057252	SOAT1
ENSG00000057294	PKP2
ENSG00000057608	GDI2
ENSG00000057663	ATG5
ENSG00000057935	MTA3
ENSG00000058056	USP13
ENSG00000058262	SEC61A1
ENSG00000058272	PPP1R12A
ENSG00000058600	POLR3E
ENSG00000058668	ATP2B4
ENSG00000058673	ZC3H11A
ENSG00000058729	RIOK2
ENSG00000058804	TMEM48
ENSG00000059122	FLYWCH1
ENSG00000059573	ALDH18A1
ENSG00000059588	TARBP1
ENSG00000059691	PET112L
ENSG00000059804	SLC2A3
ENSG00000060069	CTDP1
ENSG00000060138	CSDA
ENSG00000060237	WNK1
ENSG00000060339	CCAR1
ENSG00000060491	OGFR
ENSG00000060688	SNRNP40
ENSG00000060971	ACAA1
ENSG00000061273	HDAC7
ENSG00000061676	NCKAP1
ENSG00000061794	MRPS35
ENSG00000061936	SFSWAP
ENSG00000061938	TNK2
ENSG00000061987	MON2
ENSG00000062485	CS
ENSG00000062582	MRPS24
ENSG00000062598	ELMO2
ENSG00000062650	WAPAL
ENSG00000062716	TMEM49
ENSG00000062822	POLD1
ENSG00000063046	EIF4B
ENSG00000063177	RPL18
ENSG00000063241	ISOC2
ENSG00000063244	U2AF2
ENSG00000063245	EPN1
ENSG00000063322	MED29
ENSG00000063601	MTMR1
ENSG00000063660	GPC1
ENSG00000063761	ADCK1
ENSG00000063854	HAGH
ENSG00000064012	CASP8
ENSG00000064042	LIMCH1
ENSG00000064102	C12orf11
ENSG00000064115	TM7SF3
ENSG00000064313	TAF2
ENSG00000064419	TNPO3
ENSG00000064545	TMEM161A
ENSG00000064601	CTSA
ENSG00000064607	SUGP2
ENSG00000064651	SLC12A2
ENSG00000064666	CNN2
ENSG00000064687	ABCA7
ENSG00000064703	DDX20
ENSG00000064933	PMS1
ENSG00000064961	HMG20B
ENSG00000065000	AP3D1
ENSG00000065057	NTHL1
ENSG00000065135	GNAI3
ENSG00000065150	IPO5
ENSG00000065154	OAT
ENSG00000065183	WDR3
ENSG00000065243	PKN2
ENSG00000065268	WDR18
ENSG00000065328	MCM10
ENSG00000065427	KARS
ENSG00000065485	PDIA5
ENSG00000065518	NDUFB4
ENSG00000065526	SPEN
ENSG00000065548	ZC3H15
ENSG00000065613	SLK
ENSG00000065809	FAM107B
ENSG00000065833	ME1
ENSG00000065911	MTHFD2
ENSG00000065978	YBX1
ENSG00000066027	PPP2R5A
ENSG00000066032	CTNNA2
ENSG00000066044	ELAVL1
ENSG00000066084	DIP2B
ENSG00000066117	SMARCD1
ENSG00000066135	KDM4A
ENSG00000066136	NFYC
ENSG00000066279	ASPM
ENSG00000066322	ELOVL1
ENSG00000066557	LRRC40
ENSG00000066654	THUMPD1
ENSG00000066777	ARFGEF1
ENSG00000066855	MTFR1
ENSG00000066926	FECH
ENSG00000067057	PFKP
ENSG00000067064	IDI1
ENSG00000067066	SP100
ENSG00000067113	PPAP2A
ENSG00000067167	TRAM1
ENSG00000067225	PKM2
ENSG00000067248	DHX29
ENSG00000067334	DNTTIP2
ENSG00000067369	TP53BP1
ENSG00000067533	RRP15
ENSG00000067560	RHOA
ENSG00000067596	DHX8
ENSG00000067704	IARS2
ENSG00000067829	IDH3G
ENSG00000067955	CBFB
ENSG00000067992	PDK3
ENSG00000068024	HDAC4
ENSG00000068079	IFI35
ENSG00000068097	HEATR6
ENSG00000068120	COASY
ENSG00000068366	ACSL4
ENSG00000068394	GPKOW
ENSG00000068400	GRIPAP1
ENSG00000068654	POLR1A
ENSG00000068724	TTC7A
ENSG00000068793	CYFIP1
ENSG00000068796	KIF2A
ENSG00000068878	PSME4
ENSG00000068912	ERLEC1
ENSG00000068985	PAGE1
ENSG00000069011	PITX1
ENSG00000069248	NUP133
ENSG00000069275	NUCKS1
ENSG00000069329	VPS35
ENSG00000069345	DNAJA2
ENSG00000069424	KCNAB2
ENSG00000069702	TGFBR3
ENSG00000069812	HES2
ENSG00000069849	ATP1B3
ENSG00000069998	CECR5
ENSG00000070010	UFD1L
ENSG00000070061	IKBKAP
ENSG00000070081	NUCB2
ENSG00000070214	SLC44A1
ENSG00000070269	C14orf101
ENSG00000070404	FSTL3
ENSG00000070423	RNF126
ENSG00000070495	JMJD6
ENSG00000070669	ASNS
ENSG00000070756	PABPC1
ENSG00000070761	C16orf80
ENSG00000070770	CSNK2A2
ENSG00000070785	EIF2B3
ENSG00000070814	TCOF1
ENSG00000070831	CDC42
ENSG00000070882	OSBPL3
ENSG00000070961	ATP2B1
ENSG00000071082	RPL31
ENSG00000071127	WDR1
ENSG00000071537	SEL1L
ENSG00000071539	TRIP13
ENSG00000071553	ATP6AP1
ENSG00000071626	DAZAP1
ENSG00000071655	MBD3
ENSG00000071794	HLTF
ENSG00000071859	FAM50A
ENSG00000071894	CPSF1
ENSG00000072042	RDH11
ENSG00000072062	PRKACA
ENSG00000072110	ACTN1
ENSG00000072134	EPN2
ENSG00000072210	ALDH3A2
ENSG00000072274	TFRC
ENSG00000072415	MPP5
ENSG00000072501	SMC1A
ENSG00000072506	HSD17B10
ENSG00000072682	P4HA2
ENSG00000072756	TRNT1
ENSG00000072778	ACADVL
ENSG00000072786	STK10
ENSG00000072849	DERL2
ENSG00000072958	AP1M1
ENSG00000073008	PVR
ENSG00000073050	XRCC1
ENSG00000073060	SCARB1
ENSG00000073111	MCM2
ENSG00000073169	RP3-402G11.5
ENSG00000073350	LLGL2
ENSG00000073536	NLE1
ENSG00000073578	SDHA
ENSG00000073584	SMARCE1
ENSG00000073614	KDM5A
ENSG00000073712	FERMT2
ENSG00000073792	IGF2BP2
ENSG00000073921	PICALM
ENSG00000073969	NSF
ENSG00000074054	CLASP1
ENSG00000074071	MRPS34
ENSG00000074201	CLNS1A
ENSG00000074266	EED
ENSG00000074356	C17orf85
ENSG00000074416	MGLL
ENSG00000074582	BCS1L
ENSG00000074695	LMAN1
ENSG00000074696	PTPLAD1
ENSG00000074755	ZZEF1
ENSG00000074800	ENO1
ENSG00000074842	C19orf10
ENSG00000075089	ACTR6
ENSG00000075142	SRI
ENSG00000075151	EIF4G3
ENSG00000075188	NUP37
ENSG00000075223	SEMA3C
ENSG00000075234	TTC38
ENSG00000075239	ACAT1
ENSG00000075292	ZNF638
ENSG00000075303	SLC25A40
ENSG00000075336	C18orf55
ENSG00000075391	RASAL2
ENSG00000075415	SLC25A3
ENSG00000075420	FNDC3B
ENSG00000075426	FOSL2
ENSG00000075539	FRYL
ENSG00000075618	FSCN1
ENSG00000075643	MOCOS
ENSG00000075651	PLD1
ENSG00000075711	DLG1
ENSG00000075785	RAB7A
ENSG00000075790	BCAP29
ENSG00000075856	SART3
ENSG00000075914	EXOSC7
ENSG00000076003	MCM6
ENSG00000076043	REXO2
ENSG00000076053	RBM7
ENSG00000076067	RBMS2
ENSG00000076108	BAZ2A
ENSG00000076201	PTPN23
ENSG00000076242	MLH1
ENSG00000076382	SPAG5
ENSG00000076554	TPD52
ENSG00000076604	TRAF4
ENSG00000076650	GPATCH1
ENSG00000076685	NT5C2
ENSG00000076706	MCAM
ENSG00000076924	XAB2
ENSG00000076928	ARHGEF1
ENSG00000076944	STXBP2
ENSG00000076984	MAP2K7
ENSG00000077097	TOP2B
ENSG00000077147	TM9SF3
ENSG00000077150	NFKB2
ENSG00000077152	UBE2T
ENSG00000077232	DNAJC10
ENSG00000077235	GTF3C1
ENSG00000077254	USP33
ENSG00000077312	SNRPA
ENSG00000077348	EXOSC5
ENSG00000077380	DYNC1I2
ENSG00000077454	LRCH4
ENSG00000077458	FAM76B
ENSG00000077514	POLD3
ENSG00000077522	ACTN2
ENSG00000077549	CAPZB
ENSG00000077684	PHF17
ENSG00000077809	GTF2I
ENSG00000077935	SMC1B
ENSG00000077942	FBLN1
ENSG00000078070	MCCC1
ENSG00000078140	UBE2K
ENSG00000078142	PIK3C3
ENSG00000078237	C12orf5
ENSG00000078304	PPP2R5C
ENSG00000078369	GNB1
ENSG00000078618	NRD1
ENSG00000078668	VDAC3
ENSG00000078747	ITCH
ENSG00000078808	SDF4
ENSG00000079134	THOC1
ENSG00000079215	SLC1A3
ENSG00000079246	XRCC5
ENSG00000079257	LXN
ENSG00000079308	TNS1
ENSG00000079332	SAR1A
ENSG00000079387	SENP1
ENSG00000079432	CIC
ENSG00000079459	FDFT1
ENSG00000079462	PAFAH1B3
ENSG00000079616	KIF22
ENSG00000079691	LRRC16A
ENSG00000079739	PGM1
ENSG00000079785	DDX1
ENSG00000079805	DNM2
ENSG00000079819	EPB41L2
ENSG00000079841	RIMS1
ENSG00000079950	STX7
ENSG00000080345	RIF1
ENSG00000080371	RAB21
ENSG00000080503	SMARCA2
ENSG00000080603	SRCAP
ENSG00000080608	KIAA0020
ENSG00000080819	CPOX
ENSG00000080824	HSP90AA1
ENSG00000080845	DLGAP4
ENSG00000081019	RSBN1
ENSG00000081087	OSTM1
ENSG00000081154	PCNP
ENSG00000081177	EXD2
ENSG00000081721	DUSP12
ENSG00000081760	AACS
ENSG00000081870	HSPB11
ENSG00000082068	WDR70
ENSG00000082153	BZW1
ENSG00000082212	ME2
ENSG00000082213	C5orf22
ENSG00000082258	CCNT2
ENSG00000082438	COBLL1
ENSG00000082458	DLG3
ENSG00000082515	MRPL22
ENSG00000082516	GEMIN5
ENSG00000082701	GSK3B
ENSG00000082781	ITGB5
ENSG00000082805	ERC1
ENSG00000082898	XPO1
ENSG00000082996	RNF13
ENSG00000083123	BCKDHB
ENSG00000083223	ZCCHC6
ENSG00000083312	TNPO1
ENSG00000083444	PLOD1
ENSG00000083520	DIS3
ENSG00000083642	PDS5B
ENSG00000083720	OXCT1
ENSG00000083845	RPS5
ENSG00000083896	YTHDC1
ENSG00000084072	PPIE
ENSG00000084073	ZMPSTE24
ENSG00000084092	C4orf14
ENSG00000084234	APLP2
ENSG00000084463	WBP11
ENSG00000084623	EIF3I
ENSG00000084652	TXLNA
ENSG00000084733	RAB10
ENSG00000084754	HADHA
ENSG00000084774	CAD
ENSG00000085063	CD59
ENSG00000085185	BCORL1
ENSG00000085224	ATRX
ENSG00000085231	TAF9
ENSG00000085365	SCAMP1
ENSG00000085377	PREP
ENSG00000085415	SEH1L
ENSG00000085449	WDFY1
ENSG00000085491	SLC25A24
ENSG00000085662	AKR1B1
ENSG00000085719	CPNE3
ENSG00000085733	CTTN
ENSG00000085760	MTIF2
ENSG00000085832	EPS15
ENSG00000085840	ORC1
ENSG00000085871	MGST2
ENSG00000085872	CHERP
ENSG00000085978	ATG16L1
ENSG00000086061	DNAJA1
ENSG00000086062	B4GALT1
ENSG00000086065	CHMP5
ENSG00000086102	NFX1
ENSG00000086189	DIMT1L
ENSG00000086200	IPO11
ENSG00000086289	EPDR1
ENSG00000086475	SEPHS1
ENSG00000086504	MRPL28
ENSG00000086589	RBM22
ENSG00000086598	TMED2
ENSG00000086712	TXLNG
ENSG00000086758	HUWE1
ENSG00000086827	ZW10
ENSG00000086848	FDXACB1
ENSG00000087053	MTMR2
ENSG00000087077	TRIP6
ENSG00000087086	FTL
ENSG00000087087	SRRT
ENSG00000087088	BAX
ENSG00000087111	PIGS
ENSG00000087191	PSMC5
ENSG00000087253	LPCAT2
ENSG00000087258	GNAO1
ENSG00000087269	NOP14
ENSG00000087274	ADD1
ENSG00000087299	L2HGDH
ENSG00000087302	C14orf166
ENSG00000087365	SF3B2
ENSG00000087460	GNAS
ENSG00000087470	DNM1L
ENSG00000087502	ERGIC2
ENSG00000087842	PIR
ENSG00000088035	ALG6
ENSG00000088205	DDX18
ENSG00000088247	KHSRP
ENSG00000088256	GNA11
ENSG00000088325	TPX2
ENSG00000088367	EPB41L1
ENSG00000088387	DOCK9
ENSG00000088682	COQ9
ENSG00000088832	FKBP1A
ENSG00000088833	NSFL1C
ENSG00000088888	MAVS
ENSG00000088930	XRN2
ENSG00000088986	DYNLL1
ENSG00000089006	SNX5
ENSG00000089009	RPL6
ENSG00000089048	ESF1
ENSG00000089053	ANAPC5
ENSG00000089094	KDM2B
ENSG00000089154	GCN1L1
ENSG00000089157	RPLP0
ENSG00000089159	PXN
ENSG00000089177	KIF16B
ENSG00000089195	TRMT6
ENSG00000089220	PEBP1
ENSG00000089234	BRAP
ENSG00000089248	ERP29
ENSG00000089280	FUS
ENSG00000089289	IGBP1
ENSG00000089597	GANAB
ENSG00000089682	RBM41
ENSG00000089685	BIRC5
ENSG00000089693	MLF2
ENSG00000089723	OTUB2
ENSG00000089737	DDX24
ENSG00000089876	DHX32
ENSG00000089902	RCOR1
ENSG00000090013	BLVRB
ENSG00000090054	SPTLC1
ENSG00000090060	PAPOLA
ENSG00000090061	CCNK
ENSG00000090263	MRPS33
ENSG00000090273	NUDC
ENSG00000090316	MAEA
ENSG00000090339	ICAM1
ENSG00000090372	STRN4
ENSG00000090487	SPG21
ENSG00000090520	DNAJB11
ENSG00000090530	LEPREL1
ENSG00000090615	GOLGA3
ENSG00000090621	PABPC4
ENSG00000090857	PDPR
ENSG00000090861	AARS
ENSG00000090863	GLG1
ENSG00000090889	KIF4A
ENSG00000090989	EXOC1
ENSG00000091009	RBM27
ENSG00000091039	OSBPL8
ENSG00000091127	PUS7
ENSG00000091136	LAMB1
ENSG00000091140	DLD
ENSG00000091157	WDR7
ENSG00000091164	TXNL1
ENSG00000091317	CMTM6
ENSG00000091409	ITGA6
ENSG00000091483	FH
ENSG00000091527	CDV3
ENSG00000091542	ALKBH5
ENSG00000091732	ZC3HC1
ENSG00000092010	PSME1
ENSG00000092094	OSGEP
ENSG00000092108	SCFD1
ENSG00000092148	HECTD1
ENSG00000092199	HNRNPC
ENSG00000092200	RPGRIP1
ENSG00000092201	SUPT16H
ENSG00000092203	TOX4
ENSG00000092330	TINF2
ENSG00000092439	TRPM7
ENSG00000092470	WDR76
ENSG00000092531	SNAP23
ENSG00000092621	PHGDH
ENSG00000092820	EZR
ENSG00000092841	MYL6
ENSG00000092929	UNC13D
ENSG00000092964	DPYSL2
ENSG00000093000	NUP50
ENSG00000093010	COMT
ENSG00000093144	ECHDC1
ENSG00000093167	LRRFIP2
ENSG00000094880	CDC23
ENSG00000094914	AAAS
ENSG00000094916	CBX5
ENSG00000095002	MSH2
ENSG00000095059	DHPS
ENSG00000095139	ARCN1
ENSG00000095209	TMEM38B
ENSG00000095261	PSMD5
ENSG00000095319	NUP188
ENSG00000095321	CRAT
ENSG00000095380	NANS
ENSG00000095383	TBC1D2
ENSG00000095485	CWF19L1
ENSG00000095564	BTAF1
ENSG00000095637	SORBS1
ENSG00000095787	WAC
ENSG00000095906	NUBP2
ENSG00000096060	FKBP5
ENSG00000096063	SRPK1
ENSG00000096080	MRPS18A
ENSG00000096150	AL844527.1
ENSG00000096155	AL805934.1
ENSG00000096171	CR925765.1
ENSG00000096384	HSP90AB1
ENSG00000096401	CDC5L
ENSG00000096433	ITPR3
ENSG00000096654	ZNF184
ENSG00000096696	DSP
ENSG00000096746	HNRNPH3
ENSG00000097007	ABL1
ENSG00000097021	ACOT7
ENSG00000097033	SH3GLB1
ENSG00000099194	SCD
ENSG00000099203	TMED1
ENSG00000099204	ABLIM1
ENSG00000099219	ERMP1
ENSG00000099246	RAB18
ENSG00000099250	NRP1
ENSG00000099256	PRTFDC1
ENSG00000099290	FAM21A
ENSG00000099331	MYO9B
ENSG00000099341	PSMD8
ENSG00000099381	SETD1A
ENSG00000099622	CIRBP
ENSG00000099624	ATP5D
ENSG00000099783	HNRNPM
ENSG00000099795	NDUFB7
ENSG00000099797	TECR
ENSG00000099800	TIMM13
ENSG00000099810	MTAP
ENSG00000099812	C19orf21
ENSG00000099817	POLR2E
ENSG00000099821	POLRMT
ENSG00000099864	PALM
ENSG00000099899	TRMT2A
ENSG00000099901	RANBP1
ENSG00000099917	MED15
ENSG00000099940	SNAP29
ENSG00000099942	CRKL
ENSG00000099956	SMARCB1
ENSG00000099968	BCL2L13
ENSG00000099977	DDT
ENSG00000099995	SF3A1
ENSG00000100014	SPECC1L
ENSG00000100028	SNRPD3
ENSG00000100029	PES1
ENSG00000100030	MAPK1
ENSG00000100034	PPM1F
ENSG00000100038	TOP3B
ENSG00000100056	DGCR14
ENSG00000100075	SLC25A1
ENSG00000100078	PLA2G3
ENSG00000100097	LGALS1
ENSG00000100101	NOL12
ENSG00000100106	TRIOBP
ENSG00000100109	TFIP11
ENSG00000100116	GCAT
ENSG00000100124	ANKRD54
ENSG00000100129	EIF3L
ENSG00000100138	NHP2L1
ENSG00000100201	DDX17
ENSG00000100207	TCF20
ENSG00000100216	TOMM22
ENSG00000100220	C22orf28
ENSG00000100225	FBXO7
ENSG00000100226	GTPBP1
ENSG00000100227	POLDIP3
ENSG00000100234	TIMP3
ENSG00000100242	SUN2
ENSG00000100243	CYB5R3
ENSG00000100258	LMF2
ENSG00000100266	PACSIN2
ENSG00000100280	AP1B1
ENSG00000100284	TOM1
ENSG00000100292	HMOX1
ENSG00000100294	MCAT
ENSG00000100296	THOC5
ENSG00000100297	MCM5
ENSG00000100299	ARSA
ENSG00000100300	TSPO
ENSG00000100304	TTLL12
ENSG00000100316	RPL3
ENSG00000100320	RBFOX2
ENSG00000100324	TAB1
ENSG00000100325	ASCC2
ENSG00000100345	MYH9
ENSG00000100347	SAMM50
ENSG00000100348	TXN2
ENSG00000100353	EIF3D
ENSG00000100354	TNRC6B
ENSG00000100360	IFT27
ENSG00000100372	SLC25A17
ENSG00000100380	ST13
ENSG00000100387	RBX1
ENSG00000100393	EP300
ENSG00000100401	RANGAP1
ENSG00000100410	PHF5A
ENSG00000100412	ACO2
ENSG00000100416	TRMU
ENSG00000100441	KHNYN
ENSG00000100442	FKBP3
ENSG00000100462	PRMT5
ENSG00000100478	AP4S1
ENSG00000100479	POLE2
ENSG00000100504	PYGL
ENSG00000100519	PSMC6
ENSG00000100522	GNPNAT1
ENSG00000100554	ATP6V1D
ENSG00000100567	PSMA3
ENSG00000100575	TIMM9
ENSG00000100577	GSTZ1
ENSG00000100580	TMED8
ENSG00000100591	AHSA1
ENSG00000100596	SPTLC2
ENSG00000100600	LGMN
ENSG00000100603	SNW1
ENSG00000100612	DHRS7
ENSG00000100632	ERH
ENSG00000100650	SRSF5
ENSG00000100664	EIF5
ENSG00000100697	DICER1
ENSG00000100714	MTHFD1
ENSG00000100722	ZC3H14
ENSG00000100726	TELO2
ENSG00000100749	VRK1
ENSG00000100764	PSMC1
ENSG00000100784	RPS6KA5
ENSG00000100796	SMEK1
ENSG00000100804	PSMB5
ENSG00000100813	ACIN1
ENSG00000100815	TRIP11
ENSG00000100823	APEX1
ENSG00000100836	PABPN1
ENSG00000100852	ARHGAP5
ENSG00000100883	SRP54
ENSG00000100888	CHD8
ENSG00000100889	PCK2
ENSG00000100890	KIAA0391
ENSG00000100902	PSMA6
ENSG00000100906	NFKBIA
ENSG00000100911	PSME2
ENSG00000100934	SEC23A
ENSG00000100938	GMPR2
ENSG00000100941	PNN
ENSG00000100949	RABGGTA
ENSG00000100983	GSS
ENSG00000100994	PYGB
ENSG00000101000	PROCR
ENSG00000101003	GINS1
ENSG00000101040	ZMYND8
ENSG00000101079	NDRG3
ENSG00000101126	ADNP
ENSG00000101132	PFDN4
ENSG00000101138	CSTF1
ENSG00000101146	RAE1
ENSG00000101150	TPD52L2
ENSG00000101152	DNAJC5
ENSG00000101158	TH1L
ENSG00000101160	CTSZ
ENSG00000101161	PRPF6
ENSG00000101166	SLMO2
ENSG00000101182	PSMA7
ENSG00000101187	SLCO4A1
ENSG00000101191	DIDO1
ENSG00000101193	C20orf11
ENSG00000101199	ARFGAP1
ENSG00000101220	C20orf27
ENSG00000101266	CSNK2A1
ENSG00000101290	CDS2
ENSG00000101294	HM13
ENSG00000101310	SEC23B
ENSG00000101337	TM9SF4
ENSG00000101343	CRNKL1
ENSG00000101346	POFUT1
ENSG00000101347	SAMHD1
ENSG00000101361	NOP56
ENSG00000101363	MANBAL
ENSG00000101365	IDH3B
ENSG00000101367	MAPRE1
ENSG00000101407	TTI1
ENSG00000101413	RPRD1B
ENSG00000101421	CHMP4B
ENSG00000101439	CST3
ENSG00000101444	AHCY
ENSG00000101457	DNTTIP1
ENSG00000101473	ACOT8
ENSG00000101474	C20orf3
ENSG00000101557	USP14
ENSG00000101558	VAPA
ENSG00000101596	SMCHD1
ENSG00000101654	RNMT
ENSG00000101680	LAMA1
