"Checked"	"Protein Group ID"	"Number of Proteins"	"Number of Unique Peptides"	"Number of Peptides"	"Number of PSMs"	"Group Description"	"Found in Sample in S1 F1 Sample"	"Found in Sample Group in S1 F1 Sample"
"False"	"13"	"11"	"21"	"21"	"214"	"[Master Protein] Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3"	"High"	"High"
"False"	"14"	"3"	"6"	"6"	"21"	"[Master Protein] Protein argonaute-2 OS=Homo sapiens GN=AGO2 PE=1 SV=3"	"High"	"High"
"False"	"15"	"4"	"1"	"5"	"15"	"[Master Protein] RNA-binding protein 4B OS=Homo sapiens GN=RBM4B PE=1 SV=1"	"High"	"High"
"False"	"16"	"3"	"8"	"8"	"32"	"[Master Protein] DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3"	"High"	"High"
"False"	"17"	"1"	"9"	"9"	"71"	"[Master Protein] X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3"	"High"	"High"
"False"	"18"	"2"	"2"	"2"	"6"	"[Master Protein] Protein lin-28 homolog B OS=Homo sapiens GN=LIN28B PE=1 SV=1"	"High"	"High"
"False"	"19"	"1"	"2"	"2"	"12"	"[Master Protein] Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2"	"High"	"High"
"False"	"20"	"1"	"5"	"5"	"15"	"[Master Protein] Transcriptional repressor NF-X1 OS=Homo sapiens GN=NFX1 PE=1 SV=2"	"High"	"High"
"False"	"21"	"1"	"7"	"7"	"29"	"[Master Protein] NF-kappa-B-repressing factor OS=Homo sapiens GN=NKRF PE=1 SV=2"	"High"	"High"
"False"	"22"	"3"	"11"	"13"	"74"	"[Master Protein] Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3"	"High"	"High"
"False"	"23"	"4"	"13"	"14"	"110"	"[Master Protein] Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2"	"High"	"High"
"False"	"24"	"2"	"3"	"3"	"7"	"[Master Protein] Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4"	"High"	"High"
"False"	"25"	"1"	"2"	"2"	"6"	"[Master Protein] Histone-lysine N-methyltransferase ASH1L OS=Homo sapiens GN=ASH1L PE=1 SV=2"	"High"	"High"
"False"	"26"	"1"	"2"	"2"	"6"	"[Master Protein] 60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1"	"High"	"High"
"False"	"27"	"2"	"2"	"19"	"171"	"[Master Protein] Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3"	"High"	"High"
"False"	"28"	"4"	"9"	"13"	"164"	"[Master Protein] Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1"	"High"	"High"
"False"	"29"	"3"	"13"	"13"	"53"	"[Master Protein] Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens GN=ASPM PE=1 SV=2"	"High"	"High"
"False"	"30"	"2"	"3"	"3"	"19"	"[Master Protein] Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=3"	"High"	"High"
"False"	"31"	"4"	"1"	"4"	"12"	"[Master Protein] Microtubule-associated protein (Fragment) OS=Homo sapiens GN=MAP4 PE=1 SV=1"	"High"	"High"
"False"	"32"	"1"	"1"	"2"	"14"	"[Master Protein] Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens GN=IGF2BP1 PE=1 SV=2"	"High"	"High"
"False"	"33"	"1"	"3"	"3"	"10"	"[Master Protein] Melanoma-associated antigen B2 OS=Homo sapiens GN=MAGEB2 PE=1 SV=3"	"High"	"High"
"False"	"34"	"5"	"3"	"3"	"12"	"[Master Protein] RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1"	"High"	"High"
"False"	"35"	"3"	"4"	"4"	"15"	"[Master Protein] Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens GN=DHRS2 PE=1 SV=4"	"High"	"High"
"False"	"36"	"1"	"2"	"30"	"1447"	"[Master Protein] Nucleolin (Fragment) OS=Homo sapiens GN=NCL PE=1 SV=8"	"High"	"High"
"False"	"37"	"1"	"8"	"8"	"63"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2"	"High"	"High"
"False"	"38"	"3"	"6"	"6"	"24"	"[Master Protein] ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2"	"High"	"High"
"False"	"39"	"1"	"53"	"55"	"1210"	"[Master Protein] Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5"	"High"	"High"
"False"	"40"	"10"	"4"	"4"	"33"	"[Master Protein] Tubulin alpha chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1"	"High"	"High"
"False"	"41"	"2"	"10"	"10"	"77"	"[Master Protein] Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3"	"High"	"High"
"False"	"42"	"1"	"2"	"2"	"6"	"[Master Protein] Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4"	"High"	"High"
"False"	"43"	"1"	"4"	"4"	"10"	"[Master Protein] TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2"	"High"	"High"
"False"	"44"	"2"	"7"	"7"	"48"	"[Master Protein] E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens GN=TRIM56 PE=1 SV=3"	"High"	"High"
"False"	"45"	"2"	"3"	"3"	"14"	"[Master Protein] Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens GN=NOLC1 PE=1 SV=1"	"High"	"High"
"False"	"46"	"2"	"4"	"4"	"17"	"[Master Protein] Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens GN=ZC3H7A PE=1 SV=1"	"High"	"High"
"False"	"47"	"1"	"2"	"2"	"9"	"[Master Protein] 28S ribosomal protein S5, mitochondrial OS=Homo sapiens GN=MRPS5 PE=1 SV=2"	"High"	"High"
"False"	"48"	"1"	"6"	"6"	"51"	"[Master Protein] FAST kinase domain-containing protein 2, mitochondrial OS=Homo sapiens GN=FASTKD2 PE=1 SV=1"	"High"	"High"
"False"	"49"	"2"	"5"	"5"	"24"	"[Master Protein] RNA cytidine acetyltransferase OS=Homo sapiens GN=NAT10 PE=1 SV=2"	"High"	"High"
"False"	"50"	"2"	"9"	"9"	"40"	"[Master Protein] Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2"	"High"	"High"
"False"	"51"	"1"	"2"	"2"	"6"	"[Master Protein] Putative RNA-binding protein 15B OS=Homo sapiens GN=RBM15B PE=1 SV=3"	"High"	"High"
"False"	"52"	"4"	"3"	"3"	"9"	"[Master Protein] Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4"	"High"	"High"
"False"	"53"	"2"	"2"	"2"	"9"	"[Master Protein] RNA binding motif protein 10, isoform CRA_d OS=Homo sapiens GN=RBM10 PE=1 SV=1"	"High"	"High"
"False"	"54"	"1"	"18"	"18"	"103"	"[Master Protein] CCAAT/enhancer-binding protein zeta OS=Homo sapiens GN=CEBPZ PE=1 SV=3"	"High"	"High"
"False"	"55"	"4"	"4"	"5"	"27"	"[Master Protein] Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2"	"High"	"High"
"False"	"56"	"2"	"6"	"6"	"108"	"[Master Protein] 60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4"	"High"	"High"
"False"	"57"	"2"	"4"	"4"	"14"	"[Master Protein] Pre-mRNA-splicing factor RBM22 OS=Homo sapiens GN=RBM22 PE=1 SV=1"	"High"	"High"
"False"	"58"	"3"	"3"	"3"	"12"	"[Master Protein] rRNA-processing protein FCF1 homolog OS=Homo sapiens GN=FCF1 PE=2 SV=1"	"High"	"High"
"False"	"59"	"2"	"1"	"12"	"71"	"[Master Protein] Pumilio homolog 2 OS=Homo sapiens GN=PUM2 PE=1 SV=1"	"High"	"High"
"False"	"60"	"2"	"14"	"14"	"129"	"[Master Protein] Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1"	"High"	"High"
"False"	"61"	"4"	"6"	"6"	"21"	"[Master Protein] 40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=1"	"High"	"High"
"False"	"62"	"1"	"2"	"2"	"6"	"[Master Protein] Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1"	"High"	"High"
"False"	"63"	"5"	"1"	"4"	"12"	"[Master Protein] Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=1 SV=1"	"High"	"High"
"False"	"64"	"1"	"3"	"3"	"9"	"[Master Protein] Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2"	"High"	"High"
"False"	"65"	"1"	"8"	"8"	"62"	"[Master Protein] ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2"	"High"	"High"
"False"	"66"	"2"	"3"	"3"	"9"	"[Master Protein] Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2"	"High"	"High"
"False"	"67"	"1"	"11"	"19"	"421"	"[Master Protein] Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4"	"High"	"High"
"False"	"68"	"1"	"3"	"3"	"9"	"[Master Protein] Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2"	"High"	"High"
"False"	"69"	"5"	"17"	"17"	"99"	"[Master Protein] Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens GN=DDX56 PE=1 SV=1"	"High"	"High"
"False"	"70"	"1"	"2"	"2"	"30"	"[Master Protein] Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1"	"High"	"High"
"False"	"71"	"1"	"3"	"3"	"8"	"[Master Protein] tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens GN=TRMT1 PE=1 SV=1"	"High"	"High"
"False"	"72"	"2"	"4"	"4"	"12"	"[Master Protein] Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens GN=CCAR2 PE=1 SV=2"	"High"	"High"
"False"	"73"	"1"	"10"	"12"	"53"	"[Master Protein] Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	"High"	"High"
"False"	"74"	"2"	"2"	"2"	"6"	"[Master Protein] Protein ATP5J2-PTCD1 OS=Homo sapiens GN=ATP5J2-PTCD1 PE=4 SV=1"	"High"	"High"
"False"	"75"	"3"	"3"	"3"	"9"	"[Master Protein] YLP motif-containing protein 1 OS=Homo sapiens GN=YLPM1 PE=1 SV=3"	"High"	"High"
"False"	"76"	"19"	"22"	"22"	"143"	"[Master Protein] High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1"	"High"	"High"
"False"	"77"	"1"	"4"	"4"	"25"	"[Master Protein] Nucleolar protein 10 OS=Homo sapiens GN=NOL10 PE=1 SV=1"	"High"	"High"
"False"	"78"	"7"	"10"	"11"	"109"	"[Master Protein] Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1"	"High"	"High"
"False"	"79"	"5"	"2"	"2"	"5"	"[Master Protein] RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2"	"High"	"High"
"False"	"80"	"1"	"2"	"2"	"5"	"[Master Protein] Methyltransferase-like protein 16 OS=Homo sapiens GN=METTL16 PE=1 SV=2"	"High"	"High"
"False"	"81"	"2"	"3"	"3"	"23"	"[Master Protein] Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1"	"High"	"High"
"False"	"82"	"1"	"9"	"9"	"28"	"[Master Protein] Helicase with zinc finger domain 2 OS=Homo sapiens GN=HELZ2 PE=1 SV=6"	"High"	"High"
"False"	"83"	"1"	"3"	"3"	"9"	"[Master Protein] 60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2"	"High"	"High"
"False"	"84"	"2"	"3"	"3"	"13"	"[Master Protein] Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3"	"High"	"High"
"False"	"85"	"2"	"3"	"3"	"12"	"[Master Protein] E3 ubiquitin-protein ligase DZIP3 OS=Homo sapiens GN=DZIP3 PE=1 SV=2"	"High"	"High"
"False"	"86"	"16"	"16"	"16"	"297"	"[Master Protein] CUGBP Elav-like family member 1 OS=Homo sapiens GN=CELF1 PE=1 SV=2"	"High"	"High"
"False"	"87"	"1"	"5"	"5"	"48"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1"	"High"	"High"
"False"	"88"	"1"	"8"	"8"	"25"	"[Master Protein] Msx2-interacting protein OS=Homo sapiens GN=SPEN PE=1 SV=1"	"High"	"High"
"False"	"89"	"1"	"3"	"3"	"11"	"[Master Protein] Serum response factor-binding protein 1 OS=Homo sapiens GN=SRFBP1 PE=1 SV=1"	"High"	"High"
"False"	"90"	"1"	"3"	"3"	"9"	"[Master Protein] Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1"	"High"	"High"
"False"	"91"	"1"	"4"	"4"	"15"	"[Master Protein] WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1"	"High"	"High"
"False"	"92"	"1"	"3"	"3"	"9"	"[Master Protein] Separin OS=Homo sapiens GN=ESPL1 PE=1 SV=3"	"High"	"High"
"False"	"93"	"2"	"6"	"6"	"22"	"[Master Protein] Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1 PE=1 SV=2"	"High"	"High"
"False"	"94"	"1"	"3"	"3"	"33"	"[Master Protein] Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3"	"High"	"High"
"False"	"95"	"2"	"14"	"14"	"94"	"[Master Protein] Probable 28S rRNA (cytosine-C(5))-methyltransferase OS=Homo sapiens GN=NSUN5 PE=1 SV=2"	"High"	"High"
"False"	"96"	"2"	"2"	"2"	"6"	"[Master Protein] Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4"	"High"	"High"
"False"	"97"	"2"	"2"	"2"	"6"	"[Master Protein] Uncharacterized protein C7orf50 OS=Homo sapiens GN=C7orf50 PE=1 SV=1"	"High"	"High"
"False"	"98"	"2"	"2"	"2"	"6"	"[Master Protein] ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=1"	"High"	"High"
"False"	"99"	"2"	"2"	"2"	"6"	"[Master Protein] Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens GN=TNRC6B PE=1 SV=4"	"High"	"High"
"False"	"100"	"2"	"4"	"4"	"26"	"[Master Protein] 60S ribosomal protein L7-like 1 OS=Homo sapiens GN=RPL7L1 PE=1 SV=1"	"High"	"High"
"False"	"101"	"2"	"2"	"2"	"9"	"[Master Protein] Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3"	"High"	"High"
"False"	"102"	"1"	"5"	"5"	"20"	"[Master Protein] Ribosome biogenesis regulatory protein homolog OS=Homo sapiens GN=RRS1 PE=1 SV=2"	"High"	"High"
"False"	"103"	"4"	"25"	"25"	"127"	"[Master Protein] ATP-dependent RNA helicase DDX24 OS=Homo sapiens GN=DDX24 PE=1 SV=1"	"High"	"High"
"False"	"104"	"4"	"3"	"6"	"62"	"[Master Protein] ELAV-like protein OS=Homo sapiens GN=ELAVL2 PE=1 SV=1"	"High"	"High"
"False"	"105"	"7"	"12"	"12"	"116"	"[Master Protein] 60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3"	"High"	"High"
"False"	"106"	"4"	"45"	"45"	"870"	"[Master Protein] Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2"	"High"	"High"
"False"	"107"	"4"	"2"	"3"	"18"	"[Master Protein] Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2"	"High"	"High"
"False"	"108"	"3"	"6"	"6"	"21"	"[Master Protein] Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens GN=DHX57 PE=1 SV=2"	"High"	"High"
"False"	"109"	"8"	"3"	"3"	"7"	"[Master Protein] SAFB-like transcription modulator OS=Homo sapiens GN=SLTM PE=1 SV=2"	"High"	"High"
"False"	"110"	"2"	"3"	"3"	"12"	"[Master Protein] Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 OS=Homo sapiens GN=PPRC1 PE=1 SV=1"	"High"	"High"
"False"	"111"	"6"	"1"	"3"	"15"	"[Master Protein] Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1"	"High"	"High"
"False"	"112"	"2"	"3"	"3"	"12"	"[Master Protein] 60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2"	"High"	"High"
"False"	"113"	"3"	"4"	"4"	"39"	"[Master Protein] Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1"	"High"	"High"
"False"	"114"	"3"	"4"	"4"	"28"	"[Master Protein] 40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1"	"High"	"High"
"False"	"115"	"2"	"2"	"2"	"6"	"[Master Protein] Ras-related protein Rab-34, isoform NARR OS=Homo sapiens GN=RAB34 PE=1 SV=1"	"High"	"High"
"False"	"116"	"2"	"6"	"6"	"20"	"[Master Protein] Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens GN=DDX47 PE=1 SV=1"	"High"	"High"
"False"	"117"	"1"	"6"	"6"	"38"	"[Master Protein] 60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3"	"High"	"High"
"False"	"118"	"2"	"10"	"10"	"36"	"[Master Protein] tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2"	"High"	"High"
"False"	"119"	"5"	"15"	"15"	"147"	"[Master Protein] RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2"	"High"	"High"
"False"	"120"	"3"	"6"	"6"	"51"	"[Master Protein] Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2"	"High"	"High"
"False"	"121"	"3"	"2"	"2"	"9"	"[Master Protein] Poly(rC)-binding protein 4 OS=Homo sapiens GN=PCBP4 PE=2 SV=1"	"High"	"High"
"False"	"122"	"8"	"12"	"12"	"105"	"[Master Protein] Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=1"	"High"	"High"
"False"	"123"	"4"	"2"	"2"	"10"	"[Master Protein] 40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=1"	"High"	"High"
"False"	"124"	"4"	"4"	"5"	"48"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=1"	"High"	"High"
"False"	"125"	"2"	"15"	"23"	"478"	"[Master Protein] Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1"	"High"	"High"
"False"	"127"	"2"	"4"	"4"	"95"	"[Master Protein] Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1"	"High"	"High"
"False"	"128"	"1"	"2"	"2"	"4"	"[Master Protein] Ribosomal RNA small subunit methyltransferase NEP1 OS=Homo sapiens GN=EMG1 PE=1 SV=4"	"High"	"High"
"False"	"129"	"1"	"2"	"2"	"6"	"[Master Protein] Probable ATP-dependent RNA helicase DDX43 OS=Homo sapiens GN=DDX43 PE=2 SV=2"	"High"	"High"
"False"	"130"	"4"	"4"	"4"	"19"	"[Master Protein] 60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=1"	"High"	"High"
"False"	"131"	"2"	"4"	"4"	"39"	"[Master Protein] Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1"	"High"	"High"
"False"	"132"	"2"	"2"	"2"	"16"	"[Master Protein] 40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2"	"High"	"High"
"False"	"133"	"1"	"2"	"2"	"6"	"[Master Protein] U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1"	"High"	"High"
"False"	"134"	"7"	"6"	"14"	"85"	"[Master Protein] RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3"	"High"	"High"
"False"	"135"	"1"	"2"	"2"	"6"	"[Master Protein] Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3"	"High"	"High"
"False"	"136"	"1"	"3"	"3"	"12"	"[Master Protein] Terminal uridylyltransferase 7 OS=Homo sapiens GN=ZCCHC6 PE=1 SV=1"	"High"	"High"
"False"	"137"	"2"	"3"	"3"	"12"	"[Master Protein] 60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3"	"High"	"High"
"False"	"138"	"5"	"8"	"8"	"24"	"[Master Protein] Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4"	"High"	"High"
"False"	"139"	"5"	"14"	"14"	"203"	"[Master Protein] 60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2"	"High"	"High"
"False"	"140"	"2"	"8"	"8"	"99"	"[Master Protein] 40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2"	"High"	"High"
"False"	"141"	"6"	"2"	"2"	"6"	"[Master Protein] RNA-binding protein 38 OS=Homo sapiens GN=RBM38 PE=1 SV=2"	"High"	"High"
"False"	"142"	"9"	"7"	"7"	"21"	"[Master Protein] Nucleolar protein 8 OS=Homo sapiens GN=NOL8 PE=1 SV=1"	"High"	"High"
"False"	"143"	"1"	"2"	"2"	"6"	"[Master Protein] Vesicle transport protein GOT1B OS=Homo sapiens GN=GOLT1B PE=1 SV=1"	"High"	"High"
"False"	"144"	"2"	"2"	"2"	"18"	"[Master Protein] Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1"	"High"	"High"
"False"	"145"	"16"	"1"	"17"	"531"	"[Master Protein] Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=1"	"High"	"High"
"False"	"146"	"1"	"6"	"7"	"27"	"[Master Protein] Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	"High"	"High"
"False"	"147"	"1"	"3"	"3"	"16"	"[Master Protein] Trypsin OS=Sus scrofa PE=1 SV=1"	"High"	"High"
"False"	"148"	"2"	"93"	"93"	"1692"	"[Master Protein] Protein RRP5 homolog OS=Homo sapiens GN=PDCD11 PE=1 SV=3"	"High"	"High"
"False"	"149"	"3"	"3"	"3"	"35"	"[Master Protein] 40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1"	"High"	"High"
"False"	"150"	"4"	"9"	"9"	"61"	"[Master Protein] Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1"	"High"	"High"
"False"	"151"	"22"	"5"	"5"	"82"	"[Master Protein] Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2"	"High"	"High"
"False"	"152"	"1"	"8"	"10"	"75"	"[Master Protein] Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"High"	"High"
"False"	"153"	"4"	"30"	"30"	"320"	"[Master Protein] 60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5"	"High"	"High"
"False"	"154"	"1"	"3"	"3"	"11"	"[Master Protein] DBIRD complex subunit ZNF326 OS=Homo sapiens GN=ZNF326 PE=1 SV=2"	"High"	"High"
"False"	"155"	"2"	"2"	"2"	"6"	"[Master Protein] Protein LYRIC OS=Homo sapiens GN=MTDH PE=1 SV=2"	"High"	"High"
"False"	"156"	"3"	"6"	"6"	"27"	"[Master Protein] 40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3"	"High"	"High"
"False"	"157"	"3"	"5"	"5"	"45"	"[Master Protein] 60S ribosomal protein L27 (Fragment) OS=Homo sapiens GN=RPL27 PE=1 SV=1"	"High"	"High"
"False"	"158"	"2"	"2"	"2"	"6"	"[Master Protein] Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1"	"High"	"High"
"False"	"161"	"2"	"6"	"6"	"24"	"[Master Protein] Thyroid transcription factor 1-associated protein 26 OS=Homo sapiens GN=CCDC59 PE=1 SV=2"	"High"	"High"
"False"	"162"	"1"	"3"	"3"	"12"	"[Master Protein] Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3"	"High"	"High"
"False"	"164"	"2"	"3"	"14"	"77"	"[Master Protein] Pumilio homolog 2 OS=Homo sapiens GN=PUM2 PE=1 SV=2"	"High"	"High"
"False"	"165"	"4"	"3"	"3"	"12"	"[Master Protein] ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=1 SV=2"	"High"	"High"
