ENSEMBLID	Symbol	mRNAbinding	IdentifiedCL	IdentifiedControl	p.adj.DESeq	p.adj.IC	RefSeq
ENSG00000048828	FAM120A	mRNA-interactome	identified	not identified	7.51E-18	0.000753652	NP_055427
ENSG00000048991	R3HDM1	mRNA-interactome	identified	not identified	3.32E-05	0.003814815	NP_056176
ENSG00000049883	PTCD2	mRNA-interactome	identified	not identified	0.001834291	0.00463494	NP_079030
ENSG00000052749	RRP12	mRNA-interactome	identified	not identified	7.10E-08	0.004589267	NP_055994;NP_001138586
ENSG00000053372	MRTO4	mRNA-interactome	identified	not identified	0.003616417	0.011064301	NP_057267
ENSG00000054118	THRAP3	mRNA-interactome	identified	identified	9.21E-09	0.001805889	NP_005110
ENSG00000055044	NOP58	mRNA-interactome	identified	not identified	7.04E-09	0.003814815	NP_057018
ENSG00000055483	USP36	mRNA-interactome	identified	not identified	2.74E-05	0.00247862	NP_079366
ENSG00000055609	MLL3	mRNA-interactome	not identified	identified	0.930427451	0.007385	NP_733751
ENSG00000055917	PUM2	mRNA-interactome	identified	not identified	6.76E-07	0.001789825	NP_056132
ENSG00000055950	MRPL43	mRNA-interactome	identified	identified	0.102720335	0.000934545	NP_789762;NP_789763;NP_115488;...
ENSG00000056097	ZFR	mRNA-interactome	identified	not identified	1.59E-09	0.002181489	NP_057191
ENSG00000056586	RC3H2	mRNA-interactome	identified	not identified	0.029319648	0.000910766	NP_001094058;NP_061323
ENSG00000058673	ZC3H11A	mRNA-interactome	identified	not identified	1.16E-08	0.004577549	NP_055642
ENSG00000059378	PARP12	mRNA-interactome	identified	not identified	0.001160404	0.003627415	NP_073587
ENSG00000059573	ALDH18A1	mRNA-interactome	identified	identified	1	0.000753652	NP_002851;NP_001017423
ENSG00000060138	CSDA	mRNA-interactome	identified	identified	8.20E-09	0.000608651	NP_001138898;NP_003642
ENSG00000060339	CCAR1	mRNA-interactome	identified	not identified	0.096773559	0.00368697	NP_060707
ENSG00000060688	SNRNP40	mRNA-interactome	identified	not identified	0.713048069	0.00237334	NP_004805
ENSG00000062582	MRPS24	mRNA-interactome	identified	not identified	1	0.002989345	NP_114403
ENSG00000063046	EIF4B	mRNA-interactome	identified	identified	2.15E-09	0.000910766	NP_001408
ENSG00000063244	U2AF2	mRNA-interactome	identified	not identified	7.24E-12	0.001143875	NP_009210;NP_001012496
ENSG00000064607	SUGP2	mRNA-interactome	identified	not identified	6.23E-06	0.001421022	NP_001017392;NP_055699
ENSG00000065183	WDR3	mRNA-interactome	identified	not identified	4.25E-07	0.005491068	NP_006775
ENSG00000065243	PKN2	mRNA-interactome	identified	identified	1	0.000970329	NP_006247
ENSG00000065526	SPEN	mRNA-interactome	identified	not identified	4.87E-09	0.002785588	NP_055816
ENSG00000065548	ZC3H15	mRNA-interactome	identified	not identified	0.052105948	0.006741882	NP_060941
ENSG00000065978	YBX1	mRNA-interactome	identified	identified	2.20E-08	0.000811963	NP_004550
ENSG00000066044	ELAVL1	mRNA-interactome	identified	identified	1.15E-14	0.001073356	NP_001410
ENSG00000066654	THUMPD1	mRNA-interactome	identified	not identified	0.004637231	0.005858856	NP_060206
ENSG00000067225	PKM2	mRNA-interactome	identified	not identified	0.713048069	0.005838335	NP_001193727;NP_001193728;NP_0...
ENSG00000067334	DNTTIP2	mRNA-interactome	identified	not identified	3.10E-07	0.001122389	NP_055412
ENSG00000067596	DHX8	mRNA-interactome	identified	not identified	2.74E-05	0.009009708	NP_004932
ENSG00000070756	PABPC1	mRNA-interactome	identified	identified	3.36E-06	0.000811963	NP_002559
ENSG00000070814	TCOF1	mRNA-interactome	identified	identified	0.096773559	0.002741686	NP_001128717;NP_000347;NP_0011...
ENSG00000071082	RPL31	mRNA-interactome	identified	identified	0.057075452	0.001187693	NP_000984;NP_001092047;NP_0010...
ENSG00000071626	DAZAP1	mRNA-interactome	identified	not identified	4.69E-08	0.00067332	NP_061832;NP_733829
ENSG00000071794	HLTF	mRNA-interactome	identified	not identified	0.143405059	0.002216056	NP_620636;NP_003062
ENSG00000072274	TFRC	mRNA-interactome	identified	not identified	0.930427451	0.003208046	NP_001121620;NP_003225
ENSG00000072518	MARK2	mRNA-interactome	identified	identified	1	0.009776807	NP_004945;NP_001156768;NP_0011...
ENSG00000073792	IGF2BP2	mRNA-interactome	identified	not identified	9.50E-08	0.002962087	NP_006539;NP_001007226
ENSG00000074201	CLNS1A	mRNA-interactome	identified	not identified	0.713048069	0.002013718	NP_001284
ENSG00000074356	C17orf85	mRNA-interactome	identified	not identified	0.003616417	0.003066124	NP_001107590;NP_061023
ENSG00000074800	ENO1	mRNA-interactome	identified	not identified	0.930427451	0.000764022	NP_001188412;NP_001419
ENSG00000075151	EIF4G3	mRNA-interactome	identified	not identified	0.009708247	0.002529663	NP_003751;NP_001185732;NP_0011...
ENSG00000075292	ZNF638	mRNA-interactome	identified	not identified	0.003616417	0.003280328	NP_055312;NP_001014972
ENSG00000075420	FNDC3B	mRNA-interactome	identified	not identified	7.43E-06	0.001091449	NP_001128567;NP_073600
ENSG00000075618	FSCN1	mRNA-interactome	identified	not identified	0.052105948	0.002692947	NP_003079
ENSG00000075856	SART3	mRNA-interactome	identified	not identified	0.930427451	0.001698816	NP_055521
ENSG00000076053	RBM7	mRNA-interactome	identified	not identified	0.029319648	0.007632494	NP_057174
ENSG00000076067	RBMS2	mRNA-interactome	identified	not identified	0.000167486	0.003357894	NP_002889
ENSG00000076770	MBNL3	mRNA-interactome	identified	not identified	0.004637231	0.009882979	NP_001164175;NP_001164174;NP_0...
ENSG00000076928	ARHGEF1	mRNA-interactome	identified	not identified	0.713048069	0.006062904	NP_945353;NP_004697;NP_945328
ENSG00000079246	XRCC5	mRNA-interactome	identified	not identified	2.16E-10	0.004477882	NP_066964
ENSG00000079308	TNS1	mRNA-interactome	identified	not identified	0.930427451	0.001026848	NP_072174
ENSG00000079785	DDX1	mRNA-interactome	identified	identified	0.000154922	0.004440197	NP_004930
ENSG00000079841	RIMS1	mRNA-interactome	identified	not identified	0.003616417	0.31963076	NP_001161883;NP_055804;NP_0011...
ENSG00000080608	KIAA0020	mRNA-interactome	identified	not identified	3.10E-07	0.001260052	NP_055693
ENSG00000080824	HSP90AA1	mRNA-interactome	identified	identified	0.183785931	0.002478218	NP_005339;NP_001017963
ENSG00000082153	BZW1	mRNA-interactome	identified	not identified	0.007498822	0.00772852	NP_055485
ENSG00000082516	GEMIN5	mRNA-interactome	identified	not identified	0.00049364	0.002251528	NP_056280
ENSG00000083223	ZCCHC6	mRNA-interactome	identified	not identified	0.000110155	0.004046239	NP_001172003;NP_001171988;NP_0...
ENSG00000083312	TNPO1	mRNA-interactome	identified	not identified	0.000135896	0.028456008	NP_694858;NP_002261
ENSG00000083544	TDRD3	mRNA-interactome	identified	not identified	0.000750884	0.002050333	NP_001139543;NP_110421;NP_0011...
ENSG00000083845	RPS5	mRNA-interactome	identified	not identified	0.000609866	0.000731336	NP_001000
ENSG00000083896	YTHDC1	mRNA-interactome	identified	not identified	0.004637231	0.009419036	NP_001026902;NP_588611
ENSG00000084072	PPIE	mRNA-interactome	identified	not identified	0.001834291	0.001185906	NP_006103;NP_982281;NP_0011819...
ENSG00000084092	C4orf14	mRNA-interactome	identified	not identified	0.713048069	0.00493452	NP_115689
ENSG00000085719	CPNE3	mRNA-interactome	identified	not identified	1	0.000899027	NP_003900
ENSG00000085760	MTIF2	mRNA-interactome	identified	not identified	0.096773559	0.002378196	NP_001005369;NP_002444
ENSG00000085872	CHERP	mRNA-interactome	identified	not identified	0.000110155	0.002101477	NP_006378
ENSG00000086102	NFX1	mRNA-interactome	identified	not identified	2.54E-06	0.003759435	NP_002495;NP_667344;NP_667345
ENSG00000086189	DIMT1L	mRNA-interactome	identified	not identified	0.000393611	0.002487926	NP_055288
ENSG00000086504	MRPL28	mRNA-interactome	identified	not identified	0.713048069	0.00078165	NP_006419
ENSG00000086589	RBM22	mRNA-interactome	identified	not identified	1.09E-07	0.002991479	NP_060517
ENSG00000086758	HUWE1	mRNA-interactome	identified	not identified	0.143405059	0.002050333	NP_113584
ENSG00000087077	TRIP6	mRNA-interactome	identified	not identified	0.329799582	0.004751437	NP_003293
ENSG00000087087	SRRT	mRNA-interactome	identified	not identified	0.000927589	0.004705085	NP_001122325;NP_001122324;NP_0...
ENSG00000087269	NOP14	mRNA-interactome	identified	not identified	9.01E-05	0.002678123	NP_003694
ENSG00000087274	ADD1	mRNA-interactome	not identified	identified	0.713048069	0.000753652	NP_054909;NP_789771;NP_001110;...
ENSG00000087302	C14orf166	mRNA-interactome	identified	not identified	0.072832566	0.006070981	NP_057123
ENSG00000087365	SF3B2	mRNA-interactome	identified	not identified	5.20E-06	0.006132052	NP_006833
ENSG00000088205	DDX18	mRNA-interactome	identified	not identified	1.53E-06	0.001493512	NP_006764
ENSG00000088247	KHSRP	mRNA-interactome	identified	identified	4.30E-16	0.000811963	NP_003676
ENSG00000088930	XRN2	mRNA-interactome	identified	not identified	2.69E-07	0.001621344	NP_036387
ENSG00000089009	RPL6	mRNA-interactome	identified	identified	0.155149036	0.000910766	NP_001019833;NP_000961
ENSG00000089048	ESF1	mRNA-interactome	identified	not identified	1.49E-07	0.007288477	NP_057733
ENSG00000089157	RPLP0	mRNA-interactome	identified	not identified	0.329799582	0.002368403	NP_000993;NP_444505
ENSG00000089195	TRMT6	mRNA-interactome	identified	not identified	0.040298589	0.003633942	NP_057023
ENSG00000089220	PEBP1	mRNA-interactome	identified	not identified	0.000927589	0.00786187	NP_002558
ENSG00000089280	FUS	mRNA-interactome	identified	identified	2.56E-08	0.000743262	NP_001164105;NP_001164408;NP_0...
ENSG00000089597	GANAB	mRNA-interactome	identified	not identified	0.930427451	0.002050333	NP_938149;NP_938148
ENSG00000089737	DDX24	mRNA-interactome	identified	not identified	2.54E-06	0.00319094	NP_065147
ENSG00000090097	PCBP4	mRNA-interactome	identified	not identified	0.930427451	0.000847445	NP_001167571;NP_127501;NP_1275...
ENSG00000090621	PABPC4	mRNA-interactome	identified	identified	2.75E-06	0.000965033	NP_001129125;NP_003810;NP_0011...
ENSG00000091009	RBM27	mRNA-interactome	identified	not identified	9.01E-05	0.006821384	NP_061862
ENSG00000091127	PUS7	mRNA-interactome	identified	not identified	0.002899518	0.00175432	NP_061915
ENSG00000091436	AC013461.1	mRNA-interactome	identified	not identified	0.713048069	0.003803946	NP_057737;NP_598407
ENSG00000091542	ALKBH5	mRNA-interactome	identified	not identified	0.005783346	0.063247242	NP_060228
ENSG00000092199	HNRNPC	mRNA-interactome	identified	identified	1.74E-13	0.00149681	NP_001070910;NP_112604;NP_0010...
ENSG00000092201	SUPT16H	mRNA-interactome	identified	not identified	0.022498643	0.002164814	NP_009123
ENSG00000092820	EZR	mRNA-interactome	identified	not identified	0.329799582	0.00149681	NP_001104547;NP_003370
ENSG00000095139	ARCN1	mRNA-interactome	identified	not identified	0.930427451	0.007351473	NP_001135753;NP_001646
ENSG00000096150	AL844527.1	mRNA-interactome	identified	not identified	0.003616417	0.003742312	NP_072045
ENSG00000096384	HSP90AB1	mRNA-interactome	identified	identified	0.206750126	0.000951795	NP_031381
ENSG00000096696	DSP	mRNA-interactome	identified	not identified	0.016629709	0.002642214	NP_004406;NP_001008844
ENSG00000096746	HNRNPH3	mRNA-interactome	identified	not identified	1.19E-10	0.001773928	NP_036339;NP_067676
ENSG00000099622	CIRBP	mRNA-interactome	identified	not identified	8.77E-06	0.0018694	NP_001271
ENSG00000099783	HNRNPM	mRNA-interactome	identified	identified	3.15E-20	0.000753652	NP_005959;NP_112480
ENSG00000099821	POLRMT	mRNA-interactome	identified	not identified	4.87E-09	0.003351617	NP_005026
ENSG00000099899	TRMT2A	mRNA-interactome	identified	not identified	0.001160404	0.001508917	NP_073564;NP_892029
ENSG00000099942	CRKL	mRNA-interactome	identified	not identified	0.329799582	0.000608651	NP_005198
ENSG00000099995	SF3A1	mRNA-interactome	identified	not identified	0.005783346	0.004214444	NP_005868;NP_001005409
ENSG00000100029	PES1	mRNA-interactome	identified	not identified	5.33E-08	0.001048177	NP_055118
ENSG00000100038	TOP3B	mRNA-interactome	identified	not identified	0.000322	0.001137826	NP_003926
ENSG00000100097	LGALS1	mRNA-interactome	identified	not identified	0.096773559	0.004352564	NP_002296
ENSG00000100101	NOL12	mRNA-interactome	identified	not identified	0.072832566	0.000878037	
ENSG00000100129	EIF3L	mRNA-interactome	identified	not identified	0.007498822	0.009878639	NP_057175
ENSG00000100138	NHP2L1	mRNA-interactome	identified	identified	0.021501528	0.000753652	NP_001003796;NP_004999
ENSG00000100201	DDX17	mRNA-interactome	identified	identified	1.63E-08	0.000811963	NP_001091974;NP_006377
ENSG00000100207	TCF20	mRNA-interactome	identified	not identified	0.930427451	0.006741882	NP_005641;NP_852469
ENSG00000100220	C22orf28	mRNA-interactome	identified	identified	0.000609866	0.002256795	NP_055121
ENSG00000100226	GTPBP1	mRNA-interactome	identified	not identified	0.930427451	0.003351617	NP_004277
ENSG00000100227	POLDIP3	mRNA-interactome	identified	not identified	2.74E-05	0.003235131	NP_835237;NP_115687
ENSG00000100316	RPL3	mRNA-interactome	identified	identified	0.091336242	0.001026848	NP_000958
ENSG00000100320	RBFOX2	mRNA-interactome	identified	not identified	0.012745281	0.004757615	NP_055124;NP_001076046;NP_0010...
ENSG00000100353	EIF3D	mRNA-interactome	identified	not identified	1.06E-05	0.001233741	NP_003744
ENSG00000100354	TNRC6B	mRNA-interactome	identified	not identified	7.42E-05	0.001297682	NP_001020014;NP_055903;NP_0011...
ENSG00000100403	ZC3H7B	mRNA-interactome	identified	identified	4.11E-06	0.000871604	NP_060060
ENSG00000100410	PHF5A	mRNA-interactome	identified	not identified	0.005783346	0.000888904	NP_116147
ENSG00000100442	FKBP3	mRNA-interactome	identified	identified	1	0.006801126	NP_002004
ENSG00000100650	SRSF5	mRNA-interactome	identified	not identified	4.94E-05	0.000871604	NP_008856;NP_001034554
ENSG00000100722	ZC3H14	mRNA-interactome	identified	identified	2.04E-05	0.001499582	NP_001153576;NP_001153575;NP_0...
ENSG00000100764	PSMC1	mRNA-interactome	not identified	identified	0.930427451	0.005673184	NP_002793
ENSG00000100802	C14orf93	mRNA-interactome	identified	not identified	0.003616417	NA	NP_068763;NP_001124180;NP_0011...
ENSG00000100813	ACIN1	mRNA-interactome	identified	not identified	0.052105948	0.001137826	NP_055792;NP_001158286;NP_0011...
ENSG00000100836	PABPN1	mRNA-interactome	identified	not identified	2.14E-06	0.000871604	NP_004634
ENSG00000100883	SRP54	mRNA-interactome	identified	identified	1	0.00175432	NP_003127;NP_001139754
ENSG00000100941	PNN	mRNA-interactome	identified	identified	2.34E-05	0.002226776	NP_002678
ENSG00000101138	CSTF1	mRNA-interactome	identified	not identified	0.052105948	0.001187693	NP_001028694;NP_001315;NP_0010...
ENSG00000101150	TPD52L2	mRNA-interactome	identified	identified	1	0.002790252	NP_003279;NP_955391;NP_955394;...
ENSG00000101161	PRPF6	mRNA-interactome	identified	not identified	0.713048069	0.000970329	NP_036601
ENSG00000101361	NOP56	mRNA-interactome	identified	identified	0.000776358	0.000970329	NP_006383
ENSG00000101811	CSTF2	mRNA-interactome	identified	not identified	4.06E-05	0.004293998	NP_001316
ENSG00000102081	FMR1	mRNA-interactome	identified	not identified	8.77E-06	0.002687541	NP_001172011;NP_002015;NP_0011...
ENSG00000102241	HTATSF1	mRNA-interactome	identified	not identified	0.329799582	0.001145672	NP_001156752;NP_055315
ENSG00000102317	RBM3	mRNA-interactome	identified	identified	1.11E-06	0.000753652	NP_006734
ENSG00000102531	FNDC3A	mRNA-interactome	identified	not identified	0.003616417	0.00415615	NP_001073141;NP_055738
ENSG00000102738	MRPS31	mRNA-interactome	identified	not identified	0.000750884	0.002529663	NP_005821
ENSG00000102879	CORO1A	mRNA-interactome	not identified	not identified	1	0.002451163	NP_001180262;NP_009005
ENSG00000103067	ESRP2	mRNA-interactome	identified	not identified	1.98E-07	0.001121572	NP_079215
ENSG00000103194	USP10	mRNA-interactome	identified	not identified	3.60E-06	0.00270924	NP_005144
ENSG00000103248	MTHFSD	mRNA-interactome	identified	not identified	0.329799582	0.009298939	NP_001152852;NP_001152851;NP_0...
ENSG00000103275	UBE2I	mRNA-interactome	identified	not identified	0.329799582	0.008907773	NP_919237;NP_919236;NP_919235;...
ENSG00000103342	GSPT1	mRNA-interactome	identified	not identified	0.007498822	0.002962087	NP_001123479;NP_002085;NP_0011...
ENSG00000103353	UBFD1	mRNA-interactome	identified	identified	1	0.004745382	NP_061989
ENSG00000103495	MAZ	mRNA-interactome	identified	not identified	0.930427451	0.008960129	NP_002374;NP_001036004
ENSG00000103550	C16orf88	mRNA-interactome	identified	not identified	0.029319648	0.004924444	NP_001013009
ENSG00000103994	ZFP106	mRNA-interactome	identified	not identified	0.000257809	0.001344874	NP_071918
ENSG00000104112	SCG3	mRNA-interactome	identified	identified	1	0.000753652	NP_001158729;NP_037375
ENSG00000104356	POP1	mRNA-interactome	identified	not identified	0.000927589	0.018344113	NP_001139333;NP_001139332;NP_0...
ENSG00000104824	HNRNPL	mRNA-interactome	identified	identified	2.22E-14	0.000753652	NP_001524;NP_001005335
ENSG00000104852	SNRNP70	mRNA-interactome	identified	not identified	0.000750884	0.001257886	NP_003080
ENSG00000104897	SF3A2	mRNA-interactome	identified	not identified	0.065461148	0.001315893	NP_009096
ENSG00000104907	TRMT1	mRNA-interactome	identified	not identified	0.000927589	0.015417923	NP_060192;NP_001129507;NP_0011...
ENSG00000105058	FAM32A	mRNA-interactome	identified	not identified	0.930427451	0.007009904	NP_054796
ENSG00000105127	AKAP8	mRNA-interactome	identified	not identified	4.90E-07	0.001680949	NP_005849
ENSG00000105202	FBL	mRNA-interactome	identified	not identified	1.02E-08	0.004440197	NP_001427
ENSG00000105216	LSM14A	mRNA-interactome	identified	not identified	0.003616417	0.063008895	NP_056393;NP_001107565
ENSG00000105321	CCDC9	mRNA-interactome	identified	not identified	1.09E-06	0.001547251	NP_056418
ENSG00000105323	HNRNPUL1	mRNA-interactome	identified	identified	1.09E-07	0.000875347	NP_008971;NP_653333
ENSG00000105364	MRPL4	mRNA-interactome	identified	not identified	0.002275245	0.001382043	NP_666499;NP_057040;NP_666500
ENSG00000105373	GLTSCR2	mRNA-interactome	identified	not identified	0.000927589	0.003419593	NP_056525
ENSG00000105447	GRWD1	mRNA-interactome	identified	not identified	0.052105948	0.00368697	NP_113673
ENSG00000105618	PRPF31	mRNA-interactome	identified	not identified	0.072832566	0.000753652	NP_056444
ENSG00000105640	RPL18A	mRNA-interactome	identified	not identified	1.53E-06	0.001137826	NP_000971
ENSG00000105671	DDX49	mRNA-interactome	identified	not identified	0.029319648	0.006579191	NP_061943
ENSG00000105793	GTPBP10	mRNA-interactome	identified	not identified	0.930427451	0.002962087	NP_001036182;NP_149098
ENSG00000105821	DNAJC2	mRNA-interactome	identified	not identified	0.143405059	0.00115636	NP_001123359;NP_055192
ENSG00000105939	ZC3HAV1	mRNA-interactome	identified	not identified	4.49E-12	0.001315893	NP_064504;NP_078901
ENSG00000106028	SSBP1	mRNA-interactome	identified	not identified	6.03E-05	0.001152679	NP_003134
ENSG00000106211	HSPB1	mRNA-interactome	identified	identified	0.930427451	0.000811963	NP_001531
ENSG00000106246	PTCD1	mRNA-interactome	identified	not identified	8.77E-06	0.000878037	NP_056360
ENSG00000106344	RBM28	mRNA-interactome	identified	not identified	2.71E-10	0.000882488	NP_060547;NP_001159607
ENSG00000106591	MRPL32	mRNA-interactome	identified	not identified	0.930427451	0.005225306	NP_114109
ENSG00000106638	TBL2	mRNA-interactome	identified	not identified	0.052105948	0.001902885	NP_036585
ENSG00000106682	EIF4H	mRNA-interactome	identified	identified	4.82E-07	0.000847445	NP_071496;NP_114381
ENSG00000106803	SEC61B	mRNA-interactome	identified	identified	0.420468372	0.001121572	NP_006799
ENSG00000107105	ELAVL2	mRNA-interactome	identified	not identified	9.17E-07	0.000888904	NP_001164668;NP_001164666;NP_0...
ENSG00000107164	FUBP3	mRNA-interactome	identified	not identified	3.52E-17	0.001095515	NP_003925
ENSG00000107223	EDF1	mRNA-interactome	identified	identified	0.56841	0.002394061	NP_003783;NP_694880
ENSG00000107581	EIF3A	mRNA-interactome	identified	identified	1.46E-10	0.000970329	NP_003741
ENSG00000107625	DDX50	mRNA-interactome	identified	not identified	2.32E-05	0.007223278	NP_076950
ENSG00000107651	SEC23IP	mRNA-interactome	not identified	identified	0.930427451	0.001145461	NP_009121
ENSG00000107833	NPM3	mRNA-interactome	identified	not identified	0.001834291	0.000719405	NP_008924
ENSG00000107864	CPEB3	mRNA-interactome	identified	not identified	0.072832566	0.002529008	NP_001171608;NP_055727
ENSG00000107929	LARP4B	mRNA-interactome	identified	not identified	1.73E-07	0.001137826	NP_055970
ENSG00000107937	GTPBP4	mRNA-interactome	identified	not identified	7.83E-07	0.001335139	NP_036473
ENSG00000107949	BCCIP	mRNA-interactome	identified	not identified	0.096773559	0.001621344	NP_510868;NP_510869;NP_057651
ENSG00000107951	MTPAP	mRNA-interactome	identified	not identified	0.003616417	0.049830191	NP_060579
ENSG00000108010	GLRX3	mRNA-interactome	identified	identified	0.971354146	0.002992753	NP_001186797;NP_006532
ENSG00000108064	TFAM	mRNA-interactome	identified	not identified	0.930427451	0.001499582	NP_003192
ENSG00000108107	RPL28	mRNA-interactome	identified	identified	1	0.001902885	NP_001129607;NP_000982;NP_0011...
ENSG00000108256	NUFIP2	mRNA-interactome	identified	not identified	3.10E-07	0.001677061	NP_065823
ENSG00000108270	AATF	mRNA-interactome	identified	not identified	1.98E-07	0.011813269	NP_036270
ENSG00000108298	RPL19	mRNA-interactome	identified	identified	0.425696672	0.005967601	NP_000972
ENSG00000108349	CASC3	mRNA-interactome	identified	not identified	9.01E-05	0.001005977	NP_031385
ENSG00000108588	CCDC47	mRNA-interactome	identified	identified	0.151210489	0.001143875	NP_064583
ENSG00000108592	FTSJ3	mRNA-interactome	identified	not identified	3.14E-08	0.00498974	NP_060117
ENSG00000108654	DDX5	mRNA-interactome	identified	not identified	9.01E-09	0.000878037	NP_004387
ENSG00000108826	MRPL27	mRNA-interactome	identified	not identified	0.052105948	0.004125651	NP_057588
ENSG00000108829	LRRC59	mRNA-interactome	identified	not identified	0.004637231	0.007435911	NP_060979
ENSG00000108848	LUC7L3	mRNA-interactome	identified	not identified	0.072832566	0.005025135	NP_006098;NP_057508
ENSG00000108883	EFTUD2	mRNA-interactome	identified	not identified	0.040298589	0.002477368	NP_004238;NP_001136077
ENSG00000108953	YWHAE	mRNA-interactome	identified	not identified	0.329799582	0.00175432	NP_006752
ENSG00000109111	SUPT6H	mRNA-interactome	identified	not identified	0.000609866	0.001315893	NP_003161
ENSG00000109534	GAR1	mRNA-interactome	identified	not identified	0.000257809	0.000882488	NP_127460;NP_061856
ENSG00000109536	FRG1	mRNA-interactome	identified	not identified	0.096773559	0.001026848	NP_004468
ENSG00000109606	DHX15	mRNA-interactome	identified	identified	3.07E-06	0.002741686	NP_001349
ENSG00000109971	HSPA8	mRNA-interactome	identified	not identified	0.000257809	0.00368697	NP_006588;NP_694881
ENSG00000110104	CCDC86	mRNA-interactome	identified	not identified	0.005783346	0.012045447	NP_077003
ENSG00000110321	EIF4G2	mRNA-interactome	identified	not identified	3.32E-05	0.058181722	NP_001166176;NP_001409;NP_0010...
ENSG00000110367	DDX6	mRNA-interactome	identified	not identified	0.000110155	0.002147612	NP_004388
ENSG00000111057	KRT18	mRNA-interactome	identified	not identified	0.329799582	0.000811963	NP_000215;NP_954657
ENSG00000111142	METAP2	mRNA-interactome	identified	not identified	0.713048069	0.001171012	NP_006829
ENSG00000111144	LTA4H	mRNA-interactome	identified	identified	1	0.001122389	NP_000886
ENSG00000111364	DDX55	mRNA-interactome	identified	not identified	0.009708247	0.00272607	NP_065987
ENSG00000111605	CPSF6	mRNA-interactome	identified	not identified	0.000750884	0.001187693	NP_008938
ENSG00000111615	KRR1	mRNA-interactome	identified	not identified	0.005783346	0.23430245	NP_008974
ENSG00000111641	NOP2	mRNA-interactome	identified	not identified	6.23E-10	0.001621344	NP_001028886;NP_006161
ENSG00000111786	SRSF9	mRNA-interactome	identified	identified	4.14E-10	0.000910766	NP_003760
