Uniprot ID	Gene Symbol	Gene ID	RNAPI
SURF6_HUMAN	SURF6	6838	dependent
SYT4_HUMAN	SYT4	6860	dependent
TAP26_HUMAN	CCDC59	29080	dependent
TCOF_HUMAN	TCOF1	6949	dependent
TCP4_HUMAN	SUB1	10923	dependent
TDIF2_HUMAN	DNTTIP2	30836	dependent
TEX10_HUMAN	TEX10	54881	dependent
TMM33_HUMAN	TMEM33	55161	dependent
TRM1L_HUMAN	TRMT1L	81627	dependent
TRM6_HUMAN	TRMT6	51605	dependent
U3IP2_HUMAN	RRP9	9136	dependent
UBP36_HUMAN	USP36	57602	dependent
URB2_HUMAN	URB2	9816	dependent
UT14A_HUMAN	UTP14A	10813	dependent
UTP11_HUMAN	UTP11	51118	dependent
UTP15_HUMAN	UTP15	84135	dependent
UTP18_HUMAN	UTP18	51096	dependent
UTP20_HUMAN	UTP20	27340	dependent
WDR3_HUMAN	WDR3	10885	dependent
WDR36_HUMAN	WDR36	134430	dependent
WDR43_HUMAN	WDR43	23160	dependent
WDR46_HUMAN	WDR46	9277	dependent
WDR75_HUMAN	WDR75	84128	dependent
ZC3H8_HUMAN	ZC3H8	84524	dependent
ZCHC7_HUMAN	ZCCHC7	84186	dependent
ZCRB1_HUMAN	ZCRB1	85437	dependent
ZN365_HUMAN	ZNF365	22891	dependent
RRP5_HUMAN	PDCD11	22984	dependent
RBM28_HUMAN	RBM28	55131	dependent
DDX27_HUMAN	DDX27	55661	dependent
EBP2_HUMAN	EBNA1BP2	10969	dependent
NOP2_HUMAN	NOP2	4839	dependent
MBB1A_HUMAN	MYBBP1A	10514	dependent
RL1D1_HUMAN	RSL1D1	26156	dependent
RBM19_HUMAN	RBM19	9904	dependent
PESC_HUMAN	PES1	23481	dependent
GAR1_HUMAN	GAR1	54433	dependent
NOP58_HUMAN	NOP58	51602	dependent
DKC1_HUMAN	DKC1	1736	dependent
NHP2_HUMAN	NHP2	55651	dependent
DDX54_HUMAN	DDX54	79039	dependent
NOP56_HUMAN	NOP56	10528	dependent
SDA1_HUMAN	SDAD1	55153	dependent
RS23_HUMAN	RPS23	6228	dependent
NOG1_HUMAN	GTPBP4	23560	dependent
DDX50_HUMAN	DDX50	79009	dependent
RA1L2_HUMAN	HNRNPA1L2	144983	dependent
LA_HUMAN	SSB	6741	dependent
FBRL_HUMAN	FBL	2091	dependent
NPM_HUMAN	NPM1	4869	dependent
RL17_HUMAN	RPL17	6139	dependent
RL13_HUMAN	RPL13	6137	dependent
SPT6H_HUMAN	SUPT6H	6830	dependent
IF16_HUMAN	IFI16	3428	dependent
LARP7_HUMAN	LARP7	51574	dependent
TNF10_HUMAN	TNFSF10	8743	dependent
RBMS3_HUMAN	RBMS3	27303	dependent
DDX21_HUMAN	DDX21	9188	dependent
RL3_HUMAN	RPL3	6122	dependent
RL18_HUMAN	RPL18	6141	dependent
RL6_HUMAN	RPL6	6128	dependent
CE290_HUMAN	CEP290	80184	dependent
XRCC6_HUMAN	XRCC6	2547	dependent
DSRAD_HUMAN	ADAR	103	dependent
NUCL_HUMAN	NCL	4691	dependent
RS13_HUMAN	RPS13	6207	dependent
MGST3_HUMAN	MGST3	4259	dependent
RS8_HUMAN	RPS8	6202	dependent
RL30_HUMAN	RPL30	6156	dependent
NSUN5_HUMAN	NSUN5	55695	dependent
FXR2_HUMAN	FXR2	9513	dependent
RL13A_HUMAN	RPL13A	23521	dependent
ILF2_HUMAN	ILF2	3608	dependent
UIF_HUMAN	FYTTD1	84248	dependent
GNL3L_HUMAN	GNL3L	54552	dependent
RL35_HUMAN	RPL35	11224	dependent
PERQ2_HUMAN	GIGYF2	26058	dependent
RMXL3_HUMAN	RBMXL3	139804	dependent
EIF3D_HUMAN	EIF3D	8664	dependent
NKRF_HUMAN	NKRF	55922	dependent
HNRPM_HUMAN	HNRNPM	4670	independent
RL23A_HUMAN	RPL23A	6147	independent
SMD2_HUMAN	SNRPD2	6633	independent
RL14_HUMAN	RPL14	9045	independent
RS5_HUMAN	RPS5	6193	independent
PDIP3_HUMAN	POLDIP3	84271	independent
CSTF2_HUMAN	CSTF2	1478	independent
XRCC5_HUMAN	XRCC5	7520	independent
PEBP1_HUMAN	PEBP1	5037	independent
RNPS1_HUMAN	RNPS1	10921	independent
SYNE2_HUMAN	SYNE2	23224	independent
LSM2_HUMAN	LSM2	57819	independent
RL19_HUMAN	RPL19	6143	independent
AQR_HUMAN	AQR	9716	independent
RL18A_HUMAN	RPL18A	6142	independent
PRKDC_HUMAN	PRKDC	5591	independent
MYEF2_HUMAN	MYEF2	50804	independent
RS9_HUMAN	RPS9	6203	independent
RL7_HUMAN	RPL7	6129	independent
SUMO2_HUMAN	SUMO2	6613	independent
PSPC1_HUMAN	PSPC1	55269	independent
PURB_HUMAN	PURB	5814	independent
ILF3_HUMAN	ILF3	3609	independent
CSTFT_HUMAN	CSTF2T	23283	independent
DAZP1_HUMAN	DAZAP1	26528	independent
RL28_HUMAN	RPL28	6158	independent
ANXA2_HUMAN	ANXA2	302	independent
DDX6_HUMAN	DDX6	1656	independent
WDR33_HUMAN	WDR33	55339	independent
HNRLL_HUMAN	HNRNPLL	92906	independent
MACF1_HUMAN	MACF1	23499	independent
RL27A_HUMAN	RPL27A	6157	independent
DHX8_HUMAN	DHX8	1659	independent
RL31_HUMAN	RPL31	6160	independent
PININ_HUMAN	PNN	5411	independent
RL22L_HUMAN	RPL22L1	200916	independent
K1967_HUMAN	CCAR2	57805	independent
SYNE1_HUMAN	SYNE1	23345	independent
DHX15_HUMAN	DHX15	1665	independent
DX39A_HUMAN	DDX39A	10212	independent
B2CL2_HUMAN	BCL2L2	599	independent
MSI2H_HUMAN	MSI2	124540	independent
AKAP1_HUMAN	AKAP1	8165	independent
RSMB_HUMAN	SNRPB	6628	independent
FUS_HUMAN	FUS	2521	independent
RL27_HUMAN	RPL27	6155	independent
RUXE_HUMAN	SNRPE	6635	independent
TRI25_HUMAN	TRIM25	7706	independent
FA98B_HUMAN	FAM98B	283742	independent
LS14A_HUMAN	LSM14A	26065	independent
SRSF5_HUMAN	SRSF5	6430	independent
TRA2B_HUMAN	TRA2B	6434	independent
PRC2C_HUMAN	PRRC2C	23215	independent
RALYL_HUMAN	RALYL	138046	independent
ROA0_HUMAN	HNRNPA0	10949	independent
RS6_HUMAN	RPS6	6194	independent
SLTM_HUMAN	SLTM	79811	independent
YTHD2_HUMAN	YTHDF2	51441	independent
RRBP1_HUMAN	RRBP1	6238	independent
AHNK_HUMAN	AHNAK	79026	independent
NONO_HUMAN	NONO	4841	independent
TRA2A_HUMAN	TRA2A	29896	independent
CENPE_HUMAN	CENPE	1062	independent
RMXL1_HUMAN	RBMXL1	494115	independent
SMD1_HUMAN	SNRPD1	6632	independent
SAFB1_HUMAN	SAFB	6294	independent
RT23_HUMAN	MRPS23	51649	independent
YTHD3_HUMAN	YTHDF3	253943	independent
RL5_HUMAN	RPL5	6125	independent
RBM39_HUMAN	RBM39	9584	independent
RS30_HUMAN	FAU	2197	independent
FA98A_HUMAN	FAM98A	25940	independent
RFOX2_HUMAN	RBFOX2	23543	independent
IF4B_HUMAN	EIF4B	1975	independent
CELF1_HUMAN	CELF1	10658	independent
IF4A3_HUMAN	EIF4A3	9775	independent
SFPQ_HUMAN	SFPQ	6421	independent
PRP8_HUMAN	PRPF8	10594	independent
MFAP1_HUMAN	MFAP1	4236	independent
EDF1_HUMAN	EDF1	8721	independent
RS3A_HUMAN	RPS3A	6189	independent
RBM47_HUMAN	RBM47	54502	independent
RS26_HUMAN	RPS26	6231	independent
RL4_HUMAN	RPL4	6124	independent
SRSF3_HUMAN	SRSF3	6428	independent
RU17_HUMAN	SNRNP70	6625	independent
HNRH1_HUMAN	HNRNPH1	3187	independent
HNRPR_HUMAN	HNRNPR	10236	independent
CIRBP_HUMAN	CIRBP	1153	independent
RBM3_HUMAN	RBM3	5935	independent
RBM7_HUMAN	RBM7	10179	independent
RS18_HUMAN	RPS18	6222	independent
DDX3X_HUMAN	DDX3X	1654	independent
PTCD3_HUMAN	PTCD3	55037	independent
G3BP2_HUMAN	G3BP2	9908	independent
ESRP1_HUMAN	ESRP1	54845	independent
EIF3A_HUMAN	EIF3A	8661	independent
RS7_HUMAN	RPS7	6201	independent
IF4G1_HUMAN	EIF4G1	1981	independent
UBAP2_HUMAN	UBAP2	55833	independent
ZN326_HUMAN	ZNF326	284695	independent
PRC2A_HUMAN	PRRC2A	7916	independent
RM43_HUMAN	MRPL43	84545	independent
SF3A3_HUMAN	SF3A3	10946	independent
RL40_HUMAN	UBA52	7311	independent
RL22_HUMAN	RPL22	6146	independent
DHX9_HUMAN	DHX9	1660	independent
HELZ2_HUMAN	HELZ2	85441	independent
SRS10_HUMAN	SRSF10	10772	independent
RBM4_HUMAN	RBM4	5936	independent
SRSF9_HUMAN	SRSF9	8683	independent
HNRH3_HUMAN	HNRNPH3	3189	independent
RBM6_HUMAN	RBM6	10180	independent
PA2G4_HUMAN	PA2G4	5036	independent
PCBP2_HUMAN	PCBP2	5094	independent
RS10_HUMAN	RPS10	6204	independent
RS11_HUMAN	RPS11	6205	independent
SRBD1_HUMAN	SRBD1	55133	independent
RS19_HUMAN	RPS19	6223	independent
R3HD1_HUMAN	R3HDM1	23518	independent
G3BP1_HUMAN	G3BP1	10146	independent
SF3B1_HUMAN	SF3B1	23451	independent
RBM10_HUMAN	RBM10	8241	independent
U2AF2_HUMAN	U2AF2	11338	independent
FUBP3_HUMAN	FUBP3	8939	independent
HNRPU_HUMAN	HNRNPU	3192	independent
SAFB2_HUMAN	SAFB2	9667	independent
ROA3_HUMAN	HNRNPA3	220988	independent
NAA38_HUMAN	LSM8	51691	independent
IF4H_HUMAN	EIF4H	7458	independent
RM13_HUMAN	MRPL13	28998	independent
PTBP1_HUMAN	PTBP1	5725	independent
DDX5_HUMAN	DDX5	1655	independent
ZC3HE_HUMAN	ZC3H14	79882	independent
RL24_HUMAN	RPL24	6152	independent
RBMX_HUMAN	RBMX	27316	independent
HNRL2_HUMAN	HNRNPUL2	221092	independent
SSBP_HUMAN	SSBP1	6742	independent
RS3_HUMAN	RPS3	6188	independent
HNRCL_HUMAN	HNRNPCL1	343069	independent
FAKD2_HUMAN	FASTKD2	22868	independent
SLIRP_HUMAN	SLIRP	81892	independent
HNRPD_HUMAN	HNRNPD	3184	independent
HNRPQ_HUMAN	SYNCRIP	10492	independent
LSM6_HUMAN	LSM6	11157	independent
RBM5_HUMAN	RBM5	10181	independent
RBM22_HUMAN	RBM22	55696	independent
HNRPF_HUMAN	HNRNPF	3185	independent
EIF3G_HUMAN	EIF3G	8666	independent
BCLF1_HUMAN	BCLAF1	9774	independent
API5_HUMAN	API5	8539	independent
LARP1_HUMAN	LARP1	23367	independent
RBM14_HUMAN	RBM14	10432	independent
HNRH2_HUMAN	HNRNPH2	3188	independent
YBOX1_HUMAN	YBX1	4904	independent
SRSF7_HUMAN	SRSF7	6432	independent
CSDE1_HUMAN	CSDE1	7812	independent
IF4A1_HUMAN	EIF4A1	1973	independent
RSSA_HUMAN	RPSA	3921	independent
ROA1_HUMAN	HNRNPA1	3178	independent
U2AF1_HUMAN	U2AF1	7307	independent
HNRPL_HUMAN	HNRNPL	3191	independent
RALY_HUMAN	RALY	22913	independent
PCBP1_HUMAN	PCBP1	5093	independent
KHDR1_HUMAN	KHDRBS1	10657	independent
HNRDL_HUMAN	HNRNPDL	9987	independent
MATR3_HUMAN	MATR3	9782	independent
THOC4_HUMAN	ALYREF	10189	independent
RS2_HUMAN	RPS2	6187	independent
HNRL1_HUMAN	HNRNPUL1	11100	independent
PUF60_HUMAN	PUF60	22827	independent
RL8_HUMAN	RPL8	6132	independent
TBRG4_HUMAN	TBRG4	9238	independent
RS14_HUMAN	RPS14	6208	independent
VIGLN_HUMAN	HDLBP	3069	independent
ELAV2_HUMAN	ELAVL2	1993	independent
RL34_HUMAN	RPL34	6164	independent
SND1_HUMAN	SND1	27044	independent
SF3B4_HUMAN	SF3B4	10262	independent
ROA2_HUMAN	HNRNPA2B1	3181	independent
EWS_HUMAN	EWSR1	2130	independent
RBM15_HUMAN	RBM15	64783	independent
STAU1_HUMAN	STAU1	6780	independent
HNRPC_HUMAN	HNRNPC	3183	independent
LPPRC_HUMAN	LRPPRC	10128	independent
FXR1_HUMAN	FXR1	8087	independent
HNRPK_HUMAN	HNRNPK	3190	independent
PAIRB_HUMAN	SERBP1	26135	independent
PURA_HUMAN	PURA	5813	independent
RS20_HUMAN	RPS20	6224	independent
RBM4B_HUMAN	RBM4B	83759	independent
XRN2_HUMAN	XRN2	22803	independent
PTBP3_HUMAN	PTBP3	9991	independent
AKAP8_HUMAN	AKAP8	10270	independent
ZFR_HUMAN	ZFR	51663	independent
CKAP4_HUMAN	CKAP4	10970	independent
TIAR_HUMAN	TIAL1	7073	independent
TADBP_HUMAN	TARDBP	23435	independent
PABP1_HUMAN	PABPC1	26986	independent
F120A_HUMAN	FAM120A	23196	independent
EF1A1_HUMAN	EEF1A1	1915	independent
SRSF1_HUMAN	SRSF1	6426	independent
ELAV1_HUMAN	ELAVL1	1994	independent
ATX2L_HUMAN	ATXN2L	11273	independent
DHX30_HUMAN	DHX30	22907	independent
ZCCHV_HUMAN	ZC3HAV1	56829	independent
UBP2L_HUMAN	UBAP2L	9898	independent
DDX17_HUMAN	DDX17	10521	independent
DBPA_HUMAN	YBX3	8531	independent
FMR1_HUMAN	FMR1	2332	independent
IF2B2_HUMAN	IGF2BP2	10644	independent
MBNL1_HUMAN	MBNL1	4154	independent
RENT1_HUMAN	UPF1	5976	independent
TIA1_HUMAN	TIA1	7072	independent
FUBP1_HUMAN	FUBP1	8880	independent
RB15B_HUMAN	RBM15B	29890	independent
Z3H7B_HUMAN	ZC3H7B	23264	independent
RT05_HUMAN	MRPS5	64969	independent
RM37_HUMAN	MRPL37	51253	independent
RL29_HUMAN	RPL29	6159	independent
NUFP2_HUMAN	NUFIP2	57532	independent
SRSF2_HUMAN	SRSF2	6427	independent
RMXL2_HUMAN	RBMXL2	27288	independent
LARP4_HUMAN	LARP4	113251	independent
FUBP2_HUMAN	KHSRP	8570	independent
MINT_HUMAN	SPEN	23013	independent
ROAA_HUMAN	HNRNPAB	3182	independent
PABP2_HUMAN	PABPN1	8106	independent
ZC11A_HUMAN	ZC3H11A	9877	independent
SRSF6_HUMAN	SRSF6	6431	independent
GRSF1_HUMAN	GRSF1	2926	independent
OS9_HUMAN	OS9	10956	independent
EIF3C_HUMAN	EIF3C	8663	independent
MOV10_HUMAN	MOV10	4343	independent
IF2B3_HUMAN	IGF2BP3	10643	independent
CAPR1_HUMAN	CAPRIN1	4076	independent
STAU2_HUMAN	STAU2	27067	independent
Z3H7A_HUMAN	ZC3H7A	29066	independent
PUM2_HUMAN	PUM2	23369	independent
SF3B2_HUMAN	SF3B2	10992	independent
RBMS2_HUMAN	RBMS2	5939	independent
YTHD1_HUMAN	YTHDF1	54915	independent
TR150_HUMAN	THRAP3	9967	independent
ESRP2_HUMAN	ESRP2	80004	independent
LYRIC_HUMAN	MTDH	92140	independent
PUM1_HUMAN	PUM1	9698	independent
PABP4_HUMAN	PABPC4	8761	independent
RAVR1_HUMAN	RAVER1	125950	independent
CS066_HUMAN	C19orf66	55337	independent
SRSF4_HUMAN	SRSF4	6429	independent
RB12B_HUMAN	RBM12B	389677	independent
RBP56_HUMAN	TAF15	8148	independent
RBMS1_HUMAN	RBMS1	5937	independent
PAB4L_HUMAN	PABPC4L	132430	independent
