Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
K2C5_HUMAN	7			1	2	1	6	9	7	37	37	20
RBMX_HUMAN				1	2	1	3	2	3	25	19	12
K2C6C_HUMAN	12	7	3	2			9	8	6	40	42	16
DDX27_HUMAN					1	1			4	37	39	14
SFPQ_HUMAN					1	0	1	1	3	22	23	4
ZCCHV_HUMAN					1	0			6	27	22	11
RALY_HUMAN				2	1		3	4	3	36	29	14
NOG1_HUMAN						1	1		6	32	37	13
HSP7C_HUMAN						1	5	0	2	19	25	10
HNRPR_HUMAN				5	3	3	12	11	6	40	36	12
RL3_HUMAN				2	0	2	2	5	2	23	22	5
DYST_HUMAN					2	0	3	1		1	5	1
MATR3_HUMAN							1	1	4	14	11	5
DHX9_HUMAN					1				4	26	26	8
APC_HUMAN	3				1					7	14	5
RS3A_HUMAN				2	3	0	4	4	5	21	17	7
K1C16_HUMAN	10	8	5		1		3		8	33	19	13
HNRPL_HUMAN					0	0	2	0	3	10	10	4
TRYP_PIG	9	11	5	4	3	4	7	5	5	9	9	7
SPB1_HUMAN					2				1	18	19	12
EF2_HUMAN								1	4	25	24	11
RRP12_HUMAN							1	1	4	26	13	4
RL6_HUMAN				1	2		1	1	2	29	32	17
RBM34_HUMAN					0	0			1	28	26	10
RRBP1_HUMAN				0	1				1	13	14	4
RBM14_HUMAN									1	26	24	8
EIF3A_HUMAN										9	13	2
DPOLM_HUMAN	1	4		1		1	1	0	2	16	11	8
OBSCN_HUMAN							0	0	1	4	6	0
RL22_HUMAN				7	6	5	5	8	6	21	19	10
RS3_HUMAN				5	1	1	3	4	2	20	20	10
CKAP4_HUMAN				1			2		2	8	10	8
FBRL_HUMAN				4		2	5	7	1	20	19	8
GNL3_HUMAN							3	3		16	20	3
DDX5_HUMAN					0					25	17	9
CEBPZ_HUMAN										18	15	9
ILF3_HUMAN					0	1	1			7	9	5
NOG2_HUMAN					0					17	8	9
HNRPF_HUMAN					3	3	1	2		22	21	11
DYH7_HUMAN								5		22	3	7
PWP2_HUMAN									1	25	23	2
DHX30_HUMAN									3	15	14	5
RL18A_HUMAN				2	1		2	3	2	10	12	8
FSIP2_HUMAN	0										15	8
RENT1_HUMAN									0	24	11	0
DDX24_HUMAN								1		7	10	6
RL13A_HUMAN							1	1	7	28	18	4
NOP56_HUMAN										14	20	5
TDIF2_HUMAN									1	12	11	4
RL37_HUMAN				2	2	2	11	10	8	5	10	5
RS11_HUMAN							2	2	1	21	17	4
NPA1P_HUMAN									3	16	10	5
SYNE2_HUMAN				3						1	2	4
ELAV2_HUMAN				3					3	18	17	10
DDX50_HUMAN					1					24	31	19
UBP2L_HUMAN										9	9	8
PCBP1_HUMAN					0		3		1	12	11	8
DDX56_HUMAN					1				1	20	17	6
PUM1_HUMAN								1		12	11	4
SRSF6_HUMAN						1			1	20	12	8
MINT_HUMAN						1	0	1			1	
RL40_HUMAN					1	1	4	2	5	15	17	9
VIGLN_HUMAN					1				3	5	7	1
RS6_HUMAN					2			4	1	21	18	2
RL13_HUMAN				1	1		2	2	3	9	12	6
SRSF2_HUMAN				2	2		5	2	1	10	6	11
RL26_HUMAN				1	0		4	1	3	13	15	8
XRCC5_HUMAN	1				1				1	9	16	3
RRP1B_HUMAN									1	8	11	9
NOC3L_HUMAN										9	13	4
DSRAD_HUMAN										10	3	1
TADBP_HUMAN					0					12	11	5
PARP1_HUMAN								1	1	9	7	1
RL7A_HUMAN						1	0			19	13	5
MAP4_HUMAN										10	9	9
PESC_HUMAN					2				1	12	8	2
RL34_HUMAN				2	1	1	7	2	5	9	14	6
DDX18_HUMAN										15	17	1
ALMS1_HUMAN	0				1					6	11	
RRP1_HUMAN					0				1	6	10	7
LARP7_HUMAN										4	4	
POP1_HUMAN									1	16	8	1
ABCF1_HUMAN										10	0	1
RL31_HUMAN				3	2	1	6	8	1	3	4	3
K1C14_HUMAN	10				0		3		5	29	23	10
G3BP1_HUMAN					1		1	0	1	6	5	2
RYR3_HUMAN							3			7	3	0
RL22L_HUMAN				3	3	1	7	7	1	9	6	5
RL15_HUMAN				1			2	1	3	12	10	6
WDR87_HUMAN								1		1	0	1
PCLO_HUMAN								0		0	9	2
ILF2_HUMAN					0					14	10	9
K0020_HUMAN					1					10	9	1
EBP2_HUMAN				2	2					11	9	3
NOP58_HUMAN										8	6	
FUBP1_HUMAN					0					7	11	9
UBAP2_HUMAN										9	5	4
NOP14_HUMAN										3	3	0
CLIP1_HUMAN	0									3	2	
RL27_HUMAN				1	0		3		2	8	5	1
HUWE1_HUMAN							3	2	3	2		
FLNB_HUMAN									1	2	3	
CAPR1_HUMAN										8	3	2
DYH2_HUMAN					1			0			4	6
ROAA_HUMAN				1	1	1	2	3	1	3	3	3
TIA1_HUMAN					1					16	10	3
GNL3L_HUMAN										11	12	2
PABP4_HUMAN										12	20	4
XRCC6_HUMAN	0									13	5	
RBM15_HUMAN					1				1	1	3	2
IF4G1_HUMAN										3	4	2
RL19_HUMAN				2			1	1		9	6	3
NONO_HUMAN					1					11	7	3
LA_HUMAN										5	7	5
MDN1_HUMAN										0	1	0
RL14_HUMAN				2			3	3		8	7	2
HNRPD_HUMAN					1					13	11	2
WDR75_HUMAN										13	8	0
UTP15_HUMAN					1					9	12	
K2C1B_HUMAN	5									10	14	4
RBM4_HUMAN										4	9	4
RS4X_HUMAN					1		1	1	3	5	10	4
IF4H_HUMAN				1					2	4	2	2
K2C8_HUMAN										20	17	8
NAV2_HUMAN									6		7	0
VP13D_HUMAN								1		0	2	1
ROA0_HUMAN						1		1		11	7	3
PTBP3_HUMAN							4		3	20	15	16
EIFCL_HUMAN					0					7	6	
GRSF1_HUMAN						1			1	6	2	5
SMCA1_HUMAN					0					6	7	0
NOLC1_HUMAN										5	7	3
CHD2_HUMAN							0			0	2	0
HSP76_HUMAN						1	4		2	11	11	4
RGPA2_HUMAN					2					4	11	3
MPP10_HUMAN										7	2	5
MOV10_HUMAN										8	6	0
SPTN5_HUMAN							0	0			4	2
K1C12_HUMAN										9	10	6
MYO10_HUMAN										6	4	
RL18_HUMAN								0		15	11	1
UBR4_HUMAN				1			5	3			5	
MXRA5_HUMAN										7	5	
KTN1_HUMAN										1	1	3
MAP1A_HUMAN								1			4	
TIAR_HUMAN								1		16	10	3
RL24_HUMAN					0		1			8	8	4
UTP18_HUMAN										8	7	
DDX31_HUMAN										8	5	
RHG32_HUMAN										5	6	
RHG21_HUMAN										2	2	
REVERSE17495	2	2	1				1			1	5	
K1C15_HUMAN		7	5						4	16	16	9
PDS5B_HUMAN							1			5	3	0
RBM3_HUMAN				0	3	0	1	1		2	2	2
TAP26_HUMAN										8	4	3
GSCR2_HUMAN									1	7	8	1
LYRIC_HUMAN										9	3	1
DCA13_HUMAN									1	6	7	2
ROA3_HUMAN										4	11	6
RRP8_HUMAN											3	8
DDX3Y_HUMAN										29	29	10
CROCC_HUMAN										0	3	
YBOX2_HUMAN					4		6	6		16	20	9
RL29_HUMAN							2			7	5	3
RS7_HUMAN							1			11	7	3
RMXL2_HUMAN										3	3	3
RMXL3_HUMAN					1						8	
RS18_HUMAN				2	1	1	3	2		5	2	1
ALBU_HUMAN	10				7		11		3	13		14
HNRH3_HUMAN							0		1	4	2	1
POTEE_HUMAN					0					3	3	2
NSUN2_HUMAN					0					3	1	2
DDX17_HUMAN										4	6	0
APC2_HUMAN							3				1	
CX022_HUMAN										0	3	1
RS8_HUMAN										9	6	3
ACTB_HUMAN (+1)					2			0		4	6	3
SPEF2_HUMAN					2						3	
TOP2B_HUMAN										3	1	
AL3A2_HUMAN										6	5	3
SMD3_HUMAN	2	2	1	2			1	2			3	
RL7L_HUMAN					1					5	6	2
FUS_HUMAN										2	5	2
HS90B_HUMAN										5	5	
SSF1_HUMAN					1	0			3	6	4	1
IF2B2_HUMAN										2	3	0
SCEL_HUMAN				3		2			2	0	0	
CCD18_HUMAN											4	
FLNC_HUMAN										1	1	2
CIRBP_HUMAN					1	1	0	1		1	2	3
RM37_HUMAN										5	4	
RRS1_HUMAN										2	5	3
COEA1_HUMAN										1	1	2
CELR1_HUMAN										1	4	
ANR17_HUMAN										3	2	
DDX10_HUMAN										1	1	7
K1C13_HUMAN			4							17	10	8
CLU_HUMAN										1	3	1
EH1L1_HUMAN										1	2	
REVERSE13781	2	1						1		3	3	1
RS5_HUMAN							1	1		2	5	1
NFM_HUMAN											2	2
SDA1_HUMAN										2	3	
CELR3_HUMAN										0	7	
TOPZ1_HUMAN										4	1	
PCBP2_HUMAN					1		1	1	1	6	7	5
EF1A1_HUMAN (+1)										5	3	1
PDS5A_HUMAN										5	0	2
TOP1_HUMAN										0	4	1
RL27A_HUMAN				1			1	1		4	4	1
SK2L2_HUMAN										5	1	1
TDR15_HUMAN										8	2	
SRSF4_HUMAN							1	1		10	7	4
EIF3D_HUMAN										3	6	
ATX2L_HUMAN										3	2	
GPR98_HUMAN											2	
RSSA_HUMAN							1		2	4	1	2
SRSF7_HUMAN										5	7	1
KRT83_HUMAN										6	7	4
KDIS_HUMAN									0	0	1	1
BD1L1_HUMAN										0	3	
PABP3_HUMAN										31	23	
K2C4_HUMAN								4		12	12	
TRI25_HUMAN										7	2	
K2C3_HUMAN						1			6		17	
REVERSE12515					1						1	3
EIF2A_HUMAN										3	3	1
SYTL2_HUMAN										3	2	
REVERSE8969											3	
UBP36_HUMAN										4	2	
K2C6A_HUMAN	12								7	41	38	15
TRAP1_HUMAN										1	4	1
ITB4_HUMAN							0	3		1	0	
RSMN_HUMAN										1	2	
MYO6_HUMAN									2		1	
NCOA5_HUMAN											1	1
K1C24_HUMAN										7	10	
SMD1_HUMAN				1					1	4	4	2
RS14_HUMAN							3	1		3	1	2
H4_HUMAN					1		3	2		2	1	
K2C73_HUMAN	2				2					5	5	
RM43_HUMAN				1				1		3	1	1
REVERSE14813								0		3	3	
STAU1_HUMAN										2	2	1
REVERSE3078											3	1
MCF2L_HUMAN										0	2	
SMC5_HUMAN										4		
PRP6_HUMAN										4		
HNRC1_HUMAN							14			20	18	
REVERSE3592										4	1	1
FMR1_HUMAN								0		3	0	
PSPC1_HUMAN					0					1	0	0
U5S1_HUMAN										5	5	
LYAR_HUMAN										2	0	
VP13A_HUMAN										0		1
RL21_HUMAN										2	3	
MD1L1_HUMAN										2	2	
PTN23_HUMAN											2	1
NRK_HUMAN											3	1
SYEP_HUMAN										4	1	
ESRP1_HUMAN										3	2	
K22O_HUMAN											20	
LRP2_HUMAN										0		3
SYFB_HUMAN											2	
K2C6B_HUMAN										37	38	18
NSA2_HUMAN										5	3	
CNTP4_HUMAN						1					6	
SRFB1_HUMAN										1		3
PTCD3_HUMAN										2	2	
K2C75_HUMAN										10		8
SURF6_HUMAN										2	5	
RA1L2_HUMAN											23	8
ITA6_HUMAN											3	
DIDO1_HUMAN											2	
YETS2_HUMAN										1		
MTA2_HUMAN										3	2	
RS19_HUMAN				2			1					
FRM4A_HUMAN										5		
SRSF5_HUMAN										5	4	0
HTR5A_HUMAN							0			1	2	
PURA_HUMAN										1	3	1
CYTSB_HUMAN				1								4
CTND2_HUMAN											2	
KNTC1_HUMAN										3		
SPG7_HUMAN										2		
FBLL1_HUMAN				1				1		2	2	1
SRSF3_HUMAN										3	4	1
H2A1B_HUMAN (+9)				1	1		1	1				1
BYST_HUMAN										2	2	1
K1C17_HUMAN										17	15	11
REVERSE284										3	3	
RL23A_HUMAN				2						3	0	
SSBP_HUMAN							1	1		3		1
NOP16_HUMAN								0		1		
LHX5_HUMAN										1		2
PERQ2_HUMAN											2	1
GAR1_HUMAN										3	4	
ANXA2_HUMAN											1	1
FAKD2_HUMAN										2		
RASL1_HUMAN										2		
KIF15_HUMAN											2	
DPOLZ_HUMAN											2	
F184A_HUMAN												3
RS20_HUMAN					2	2					2	
REVERSE4402										2	3	
HDGL1_HUMAN										1		3
H12_HUMAN										1	3	
CGNL1_HUMAN											3	
WDR46_HUMAN										2		
HSP72_HUMAN										11	18	
MK67I_HUMAN											1	
CT2NL_HUMAN											2	
RCN2_HUMAN												1
REVERSE11406										1		
HNRH2_HUMAN										19	18	12
FHOD3_HUMAN							3					
RL28_HUMAN										0	2	
ODFP2_HUMAN				1				1			1	
ESF1_HUMAN										1		2
ATS2_HUMAN											5	
ATS14_HUMAN											3	
MYO9B_HUMAN											1	
REVERSE4968											2	
K2C78_HUMAN											3	
K2C79_HUMAN					1							9
RS26_HUMAN										2	2	1
CC137_HUMAN										1		2
REVERSE3191										2	1	
GRM1C_HUMAN										0	2	
DKC1_HUMAN											1	
CCNB3_HUMAN											2	
CLMN_HUMAN												2
KIF9_HUMAN										1		
U2AF2_HUMAN											1	
KRT84_HUMAN											10	
CN080_HUMAN											3	
SMD2_HUMAN										0	1	
ASB14_HUMAN										3		
REVERSE12878											2	
NCKX1_HUMAN											2	
ZC3HE_HUMAN											2	
REVERSE8338										2		
BLM_HUMAN											2	
PAN3_HUMAN										2		
RALYL_HUMAN										2	3	
RMXL1_HUMAN									4			8
SUMO3_HUMAN										1	2	
SPDE7_HUMAN										1		
PODXL_HUMAN											2	
TPGS1_HUMAN							3					
F16P1_HUMAN											3	
SRS10_HUMAN											2	
EF1G_HUMAN											1	
EIF3G_HUMAN												1
R13P3_HUMAN									3	11		
REVERSE2958											2	
REVERSE13029											2	
CST8_HUMAN										1		
REVERSE8507												1
SF3B6_HUMAN											1	
TSC2_HUMAN											1	
