Accession	NCL A	NCL B	NCL C	U A	U B	U C	S A	S B	S C	IT A	IT B	IT C
ROA0_HUMAN										9.10	9.84	9.09
PWP2_HUMAN				2.11	4.94	3.62				26.89	28.35	26.31
G3BP1_HUMAN										22.91	21.69	18.13
DDX56_HUMAN				5.05	7.81	5.46				22.54	24.89	26.30
UT14A_HUMAN										28.86	31.19	28.43
DPOLM_HUMAN							23.99	24.95	20.91	20.55	20.74	17.80
FUBP3_HUMAN							19.67	21.71	13.05	52.38	55.71	49.77
RL7L_HUMAN										17.06	18.87	21.05
HNRPM_HUMAN				6.71	12.86	8.17	14.32	15.03	10.77	49.49	47.44	50.82
IF4H_HUMAN										22.36	24.85	24.28
TIA1_HUMAN										21.90	23.36	17.32
SFPQ_HUMAN				8.66	12.92	11.11				37.70	38.75	39.94
ROAA_HUMAN										21.18	32.54	27.60
PCBP2_HUMAN										38.88	44.02	47.18
RS4X_HUMAN										14.63	14.92	16.37
SRSF1_HUMAN										7.59	9.54	5.25
SRSF5_HUMAN										13.85	16.08	5.46
GAR1_HUMAN										6.25	6.36	5.94
DDX18_HUMAN										21.39	23.24	6.37
HSP7C_HUMAN				4.12	6.88	4.21				18.56	20.22	19.24
TAP26_HUMAN										11.80	13.34	11.39
UTP20_HUMAN										18.96	19.02	18.49
RS5_HUMAN										15.88	9.65	12.50
NSA2_HUMAN										16.92	12.98	14.45
EF1A1_HUMAN										13.80	13.82	25.01
K2C8_HUMAN										49.49	53.91	52.13
NOP56_HUMAN										30.32	33.21	17.52
K2C1B_HUMAN										4.32	4.43	3.49
SLIRP_HUMAN										13.07	14.24	11.16
H3C_HUMAN										13.57	18.80	4.60
ZCCHV_HUMAN										16.64	16.37	17.47
PUM3_HUMAN										23.61	23.54	11.92
RL23A_HUMAN										17.70	19.70	15.46
UTP15_HUMAN										9.98	11.10	7.88
NOG2_HUMAN										19.84	22.52	18.89
RBM3_HUMAN										9.37	10.58	9.50
RBM14_HUMAN										27.51	27.56	24.18
GSCR2_HUMAN										19.39	34.92	16.13
GNL3L_HUMAN										23.82	21.87	26.00
SSF1_HUMAN				2.40	5.95	3.63				14.25	15.06	14.98
DDX5_HUMAN										25.40	29.22	20.04
GNL3_HUMAN										61.13	60.55	55.52
TADBP_HUMAN										38.06	46.73	44.65
CIRBP_HUMAN										5.46	7.01	3.01
K1C24_HUMAN										1.73	2.43	2.19
UTP18_HUMAN										9.25	9.70	6.92
EF2_HUMAN				2.03	5.95	4.71				26.38	25.78	22.54
SCEL_HUMAN				88.66	97.59	88.31						
PABP4_HUMAN										14.29	15.56	11.69
TCOF_HUMAN										26.55	27.00	18.85
WDR75_HUMAN										19.16	18.46	18.45
MK67I_HUMAN										5.22	3.00	1.62
NOP58_HUMAN										20.74	20.70	5.77
RRS1_HUMAN										9.63	10.83	10.33
LYRIC_HUMAN										11.12	14.99	3.56
SPB1_HUMAN										27.03	29.79	24.33
PURA_HUMAN										7.61	9.29	7.48
FUBP1_HUMAN										20.11	20.05	17.95
BYST_HUMAN										5.25	7.59	6.91
POP1_HUMAN										9.76	11.16	7.45
RM02_HUMAN										4.22	3.66	3.27
RRP1_HUMAN										16.25	15.75	12.29
RENT1_HUMAN										14.08	14.53	11.54
RRBP1_HUMAN										15.25	15.65	14.25
NONO_HUMAN										19.72	18.87	9.45
PRC2C_HUMAN										38.64	35.23	36.78
DDX31_HUMAN										7.13	8.24	10.42
KRR1_HUMAN										6.99	8.50	6.77
EIF3C_HUMAN										13.22	16.88	5.07
RRP1B_HUMAN										17.05	17.11	16.81
DCA13_HUMAN										16.39	17.00	19.06
RRP12_HUMAN										28.59	28.81	31.09
GRSF1_HUMAN										21.08	21.06	31.30
MATR3_HUMAN										19.91	17.26	21.50
TDIF2_HUMAN										10.31	10.72	9.86
UBP2L_HUMAN										18.39	19.36	14.72
HNRPL_HUMAN										45.03	47.87	48.72
NOLC1_HUMAN										10.80	9.77	5.19
AHNK_HUMAN										26.84	28.46	17.80
ABT1_HUMAN										4.19	4.75	3.79
KRT86_HUMAN										12.56	10.69	7.99
NPA1P_HUMAN										14.51	15.49	12.28
EIF3D_HUMAN										15.68	13.15	18.77
ILF3_HUMAN										25.90	25.83	23.18
NOC3L_HUMAN										12.50	12.29	12.13
RM37_HUMAN										8.65	8.12	4.07
XRCC5_HUMAN										11.93	11.96	12.39
XRCC6_HUMAN										12.49	14.18	16.56
DDX24_HUMAN										14.01	14.57	10.25
WDR46_HUMAN										18.80	18.47	20.28
DHX30_HUMAN										10.22	11.39	10.78
ACTB_HUMAN										10.13	10.84	7.90
MAP4_HUMAN										8.03	7.05	7.12
MOV10_HUMAN										9.50	9.38	8.40
CEBPZ_HUMAN										23.56	22.80	16.80
PUM1_HUMAN										19.90	16.10	20.47
TRI25_HUMAN										10.06	9.81	0.76
EIF3A_HUMAN										10.27	8.51	7.41
EIF2A_HUMAN										0.95	0.96	1.21
VIGLN_HUMAN										12.83	6.33	5.27
