Accession Number	Alternate ID	DMSO_B	DMSO_A	TUNIC_A	TUNIC_B	TUNICISRIB_A	TUNICISRIB_B	ISRIB_A	ISRIB_B
TLN1_HUMAN	TLN1	25	56	21	28	11	7	36	36
LMNB1_HUMAN	LMNB1	26	66	27	31	21	14	19	24
HNRH3_HUMAN	HNRNPH3	29	58	33	34	17	16	16	15
DDX21_HUMAN	DDX21	24	52	23	43	20	24	21	11
HSP7C_HUMAN	HSPA8	19	50	26	37	17	23	23	30
HNRH1_HUMAN	HNRNPH1	31	60	26	32	17	20	28	16
RL8_HUMAN	RPL8	21	44	24	28	18	25	20	24
K22E_HUMAN	KRT2	72	86	34	49	48	51	20	19
FINC_HUMAN	FN1	12	15	28	33	30	32	17	20
EF1A3_HUMAN	EEF1A1P5	0	48	26	32	21	21	25	0
TADBP_HUMAN	TARDBP	21	36	29	36	13	11	17	18
PCBP2_HUMAN	PCBP2	24	35	26	18	10	10	22	21
RBM14_HUMAN	RBM14	21	40	16	20	19	16	14	11
FUBP1_HUMAN	FUBP1	21	63	25	34	16	23	20	18
IF4B_HUMAN	EIF4B	17	18	21	29	17	21	16	19
TBA1C_HUMAN	TUBA1C	0	34	26	0	19	18	24	28
TIAR_HUMAN	TIAL1	22	15	27	14	21	25	13	13
U520_HUMAN	SNRNP200	15	23	16	14	2	5	13	15
MUC18_HUMAN	MCAM	12	29	22	29	11	8	18	18
SRSF2_HUMAN	SRSF2	25	14	13	8	15	16	16	16
SRSF6_HUMAN	SRSF6	17	24	16	11	14	11	13	22
MAP4_HUMAN	MAP4	11	40	12	14	9	13	13	9
TBB5_HUMAN	TUBB	19	29	20	20	5	9	15	19
KPYM_HUMAN	PKM	15	37	10	13	6	6	18	15
SSRP1_HUMAN	SSRP1	13	15	16	14	13	23	12	14
ILF3_HUMAN	ILF3	19	36	11	21	9	6	6	5
RS3_HUMAN	RPS3	20	30	8	9	12	12	16	12
SND1_HUMAN	SND1	16	31	8	13	10	10	10	12
LA_HUMAN	SSB	13	20	21	16	11	7	6	8
NOLC1_HUMAN	NOLC1	10	21	17	13	13	13	19	18
CELF1_HUMAN	CELF1	11	8	17	18	9	18	11	14
PYR1_HUMAN	CAD	12	21	8	15	1	0	22	21
PA2G4_HUMAN	PA2G4	14	23	15	17	15	12	7	12
DYHC1_HUMAN	DYNC1H1	13	19	1	14	0	0	12	14
PDIA3_HUMAN	PDIA3	14	31	12	6	9	9	12	18
DDX3X_HUMAN	DDX3X	22	43	18	17	11	12	12	5
FUBP3_HUMAN	FUBP3	19	46	25	25	13	9	14	13
RBP2_HUMAN	RANBP2	18	29	11	16	4	4	9	13
DDX56_HUMAN	DDX56	3	6	2	0	1	2	2	1
YBOX3_HUMAN	YBX3	28	50	37	29	24	29	25	17
AN32A_HUMAN	ANP32A	10	19	9	8	16	7	12	11
VIME_HUMAN	VIM	14	15	14	15	5	13	12	17
CD44_HUMAN	CD44	10	11	15	15	16	12	12	9
PININ_HUMAN	PNN	0	13	24	26	6	10	9	5
MATR3_HUMAN	MATR3	3	23	12	8	7	10	10	7
ACTN1_HUMAN	ACTN1	8	15	14	11	1	2	12	15
PR40A_HUMAN	PRPF40A	5	7	15	15	5	7	14	11
DDX46_HUMAN	DDX46	5	7	26	24	4	6	8	5
ROA3_HUMAN	HNRNPA3	19	28	31	24	6	10	14	9
RL22_HUMAN	RPL22	8	16	5	10	6	13	11	15
XRCC5_HUMAN	XRCC5	11	19	11	11	5	8	11	6
G3BP1_HUMAN	G3BP1	10	18	15	11	4	8	8	7
CH60_HUMAN	HSPD1	4	27	2	6	9	11	0	6
NEST_HUMAN	NES	6	23	9	12	4	5	9	9
TCPQ_HUMAN	CCT8	4	23	3	6	2	6	14	16
ANXA2_HUMAN	ANXA2	9	16	14	12	4	1	11	14
LC7L3_HUMAN	LUC7L3	6	21	11	10	8	14	7	6
GRP75_HUMAN	HSPA9	8	19	4	9	8	8	6	6
LMNA_HUMAN	LMNA	9	24	6	8	7	9	4	6
RL7_HUMAN	RPL7	13	8	7	9	7	9	5	6
C1TC_HUMAN	MTHFD1	14	14	6	5	2	0	15	14
NPM_HUMAN	NPM1	13	12	14	11	0	0	8	6
F120A_HUMAN	FAM120A	9	19	10	9	3	6	10	4
ENOA_HUMAN	ENO1	13	13	8	11	4	5	8	8
PABP4_HUMAN	PABPC4	25	37	29	37	16	24	20	16
PCBP1_HUMAN	PCBP1	17	33	20	15	9	14	15	22
LC7L2_HUMAN	LUC7L2	4	13	7	6	15	12	7	9
MAGB2_HUMAN	MAGEB2	12	15	9	9	2	6	7	8
RS3A_HUMAN	RPS3A	13	19	7	8	1	1	7	11
SYVC_HUMAN	VARS	8	25	4	7	0	0	15	12
PDIA6_HUMAN	PDIA6	4	14	10	14	8	3	8	5
CD166_HUMAN	ALCAM	6	16	9	10	6	8	6	8
G3P_HUMAN	GAPDH	7	6	11	8	4	7	6	14
HNRDL_HUMAN	HNRNPDL	15	12	16	16	12	5	9	9
ZCCHV_HUMAN	ZC3HAV1	6	9	10	3	3	5	2	3
GNAI1_HUMAN (+1)	GNAI1	1	1	0	1	0	0	0	0
RS11_HUMAN	RPS11	6	12	5	6	5	12	6	7
ROA0_HUMAN	HNRNPA0	10	28	23	20	7	9	10	11
UBA1_HUMAN	UBA1	8	25	4	5	0	0	13	7
ALBU_HUMAN	ALB	142	331	114	123	179	183	140	151
RS15_HUMAN	RPS15	10	18	6	12	2	3	4	3
K2C5_HUMAN	KRT5	27	29	6	7	9	15	3	4
RBM19_HUMAN	RBM19	6	10	8	17	3	3	5	6
DDX17_HUMAN	DDX17	12	46	22	19	20	8	13	9
CAPR1_HUMAN	CAPRIN1	5	19	10	8	7	3	5	4
ROAA_HUMAN	HNRNPAB	3	8	8	11	5	4	4	3
RS24_HUMAN	RPS24	9	15	9	3	6	3	4	6
MOV10_HUMAN	MOV10	6	21	5	9	1	6	2	5
IF4H_HUMAN	EIF4H	7	18	6	3	5	7	5	5
RS4X_HUMAN	RPS4X	9	11	4	7	9	6	0	1
SYRC_HUMAN	RARS	0	1	0	0	0	0	0	3
AN32B_HUMAN	ANP32B	10	21	9	6	16	12	5	6
TFR1_HUMAN	TFRC	9	16	8	5	0	5	2	5
UBP2L_HUMAN	UBAP2L	10	8	8	9	3	6	5	5
TRA2B_HUMAN	TRA2B	5	8	8	11	9	3	0	1
LDHB_HUMAN	LDHB	6	11	6	4	5	4	5	7
RL4_HUMAN	RPL4	4	15	11	7	4	5	2	3
IF2P_HUMAN	EIF5B	9	4	1	0	9	3	5	6
TR150_HUMAN	THRAP3	0	6	7	6	5	11	7	6
SRSF7_HUMAN	SRSF7	8	5	6	5	7	8	5	2
TERA_HUMAN	VCP	9	6	4	2	4	3	8	7
ZFR_HUMAN	ZFR	6	10	7	7	1	5	6	6
ABCF1_HUMAN	ABCF1	5	13	7	8	2	2	7	8
EIF3A_HUMAN	EIF3A	0	7	9	8	6	5	3	2
GCN1_HUMAN	GCN1	6	15	0	0	0	0	6	6
BASI_HUMAN	BSG	4	11	6	7	6	5	9	2
P11021|GRP78_HUMAN		7	22	14	12	8	10	9	13
PRDX1_HUMAN	PRDX1	6	8	0	3	8	3	10	11
ILF2_HUMAN	ILF2	4	16	10	10	1	0	6	3
VIGLN_HUMAN	HDLBP	5	10	7	10	4	4	3	4
SF3B1_HUMAN	SF3B1	7	6	6	1	0	1	0	5
BCLF1_HUMAN	BCLAF1	3	4	7	4	6	9	7	6
IF4A1_HUMAN	EIF4A1	2	13	7	5	0	6	6	10
RS6_HUMAN	RPS6	6	12	2	5	8	2	3	7
U2AF2_HUMAN	U2AF2	6	2	5	8	2	5	3	5
PRC2C_HUMAN	PRRC2C	3	7	3	8	5	5	0	4
ENPL_HUMAN	HSP90B1	0	18	5	6	2	2	4	5
SF3B4_HUMAN	SF3B4	7	7	6	4	6	4	6	3
CLIC1_HUMAN	CLIC1	4	9	6	5	6	6	4	2
DHX30_HUMAN	DHX30	6	21	3	5	0	2	4	3
EWS_HUMAN	EWSR1	2	12	8	11	2	4	2	2
FUS_HUMAN	FUS	7	14	3	5	0	1	2	0
UBAP2_HUMAN	UBAP2	0	25	0	0	7	2	4	1
DHX15_HUMAN	DHX15	6	9	8	7	5	0	2	3
EIF3C_HUMAN (+1)	EIF3C	4	10	4	7	0	1	4	9
ACLY_HUMAN	ACLY	9	10	0	2	1	2	6	7
K1C16_HUMAN	KRT16	35	49	21	22	0	0	16	0
EF1G_HUMAN	EEF1G	6	7	6	7	0	2	5	6
RS8_HUMAN	RPS8	4	10	4	4	5	5	4	4
PDIA1_HUMAN	P4HB	2	8	1	5	3	8	6	7
PWP2_HUMAN	PWP2	5	7	6	7	1	1	1	0
IMB1_HUMAN	KPNB1	6	7	1	4	4	3	7	3
XPO2_HUMAN	CSE1L	2	8	2	0	0	0	3	5
UT14A_HUMAN	UTP14A	3	7	6	4	2	1	5	4
THOC4_HUMAN	ALYREF	6	2	6	6	4	3	6	2
RL18A_HUMAN	RPL18A	4	6	7	8	5	4	2	0
SYIC_HUMAN	IARS	4	13	0	5	0	0	10	4
TOP1_HUMAN	TOP1	1	2	12	16	0	3	0	0
TRA2A_HUMAN	TRA2A	3	2	2	5	7	6	6	6
PUM1_HUMAN	PUM1	5	9	9	2	1	2	2	4
FBRL_HUMAN	FBL	3	7	3	11	4	0	3	2
SON_HUMAN	SON	0	8	7	1	5	1	3	7
AT1A1_HUMAN	ATP1A1	9	12	0	3	0	0	7	2
PSPC1_HUMAN	PSPC1	7	15	8	11	5	4	6	3
RNPS1_HUMAN	RNPS1	4	8	2	2	3	4	9	5
RS16_HUMAN	RPS16	8	10	1	8	3	5	0	2
UBF1_HUMAN	UBTF	3	4	7	8	0	3	5	3
RRP5_HUMAN	PDCD11	7	14	0	2	1	5	1	4
SYEP_HUMAN	EPRS	5	10	0	1	0	0	9	6
PRP8_HUMAN	PRPF8	2	17	8	0	0	0	2	1
IF4G1_HUMAN	EIF4G1	8	14	3	4	0	0	0	3
NUMA1_HUMAN	NUMA1	4	15	0	2	0	0	1	2
SRSF1_HUMAN	SRSF1	6	9	1	3	2	2	4	2
SR140_HUMAN	U2SURP	0	2	3	4	3	5	2	1
KI67_HUMAN	MKI67	7	8	7	2	1	0	1	1
RL18_HUMAN	RPL18	0	4	2	0	0	4	0	0
LDHA_HUMAN	LDHA	1	4	4	7	0	0	4	2
PUF60_HUMAN	PUF60	8	9	2	0	2	3	1	3
RL29_HUMAN	RPL29	0	23	3	3	2	1	0	0
K1C14_HUMAN	KRT14	34	45	22	27	24	25	17	25
RSSA_HUMAN	RPSA	3	10	5	7	2	1	1	1
LAMP1_HUMAN	LAMP1	4	0	6	3	4	4	5	3
GRSF1_HUMAN	GRSF1	1	13	2	4	4	3	0	3
TIA1_HUMAN	TIA1	15	13	13	11	17	13	8	9
PRC2A_HUMAN	PRRC2A	4	12	2	2	0	2	1	0
RS7_HUMAN	RPS7	4	2	3	7	3	5	3	2
HS90A_HUMAN	HSP90AA1	19	54	26	31	14	24	27	31
TGON2_HUMAN	TGOLN2	3	0	5	3	4	4	4	3
KRT86_HUMAN (+1)	KRT86	7	12	2	3	0	0	3	3
DDB1_HUMAN	DDB1	0	13	0	1	0	0	2	4
RL27_HUMAN	RPL27	8	3	3	4	3	2	2	3
RS26_HUMAN	RPS26	4	7	2	1	2	3	5	4
NHP2_HUMAN	NHP2	7	6	3	2	2	4	3	2
RS9_HUMAN	RPS9	3	6	4	1	2	3	2	3
RS14_HUMAN	RPS14	5	4	3	3	1	3	4	4
RS18_HUMAN	RPS18	4	4	6	6	3	2	0	3
ITIH2_HUMAN	ITIH2	3	4	2	2	4	5	0	3
CH10_HUMAN	HSPE1	3	10	0	1	4	6	2	1
CYR61_HUMAN	CYR61	4	10	0	0	1	0	3	7
KHDR1_HUMAN	KHDRBS1	2	1	1	1	1	0	1	1
EIF3B_HUMAN	EIF3B	4	3	3	1	0	2	2	7
RACK1_HUMAN	RACK1	3	8	4	5	0	2	1	2
DHRS2_HUMAN	DHRS2	0	14	4	6	1	1	0	1
DYH8_HUMAN	DNAH8	0	4	0	7	4	0	0	6
RENT1_HUMAN	UPF1	2	7	2	4	3	2	0	2
IF2B2_HUMAN	IGF2BP2	5	5	1	3	0	3	2	3
SDC4_HUMAN	SDC4	1	7	0	1	3	8	1	4
LARP1_HUMAN	LARP1	4	7	1	3	2	2	5	0
CKAP4_HUMAN	CKAP4	5	6	3	2	0	2	2	0
NACAM_HUMAN	NACA	5	9	1	1	0	0	0	3
NOP58_HUMAN	NOP58	4	4	0	7	0	2	0	0
CIRBP_HUMAN	CIRBP	2	4	4	3	3	2	2	3
RBM4_HUMAN	RBM4	8	3	2	3	0	3	2	3
RL31_HUMAN	RPL31	2	8	3	4	1	6	0	1
H2B1M_HUMAN	HIST1H2BM	5	3	3	4	4	0	4	0
CKAP5_HUMAN	CKAP5	8	6	0	3	0	0	2	4
DEK_HUMAN	DEK	0	6	2	2	1	2	5	4
EIF3G_HUMAN	EIF3G	4	3	4	0	2	0	2	4
IPO7_HUMAN	IPO7	3	9	0	0	0	0	6	4
XRCC6_HUMAN	XRCC6	0	4	0	2	0	1	0	0
ATPA_HUMAN	ATP5F1A	2	8	1	2	1	1	2	2
RL34_HUMAN	RPL34	2	3	3	4	2	1	3	2
LEG1_HUMAN	LGALS1	3	6	0	1	2	4	0	6
HS71A_HUMAN (+1)	HSPA1A	14	28	10	11	0	0	13	15
XPO5_HUMAN	XPO5	5	1	3	4	0	1	8	0
AT1B1_HUMAN	ATP1B1	0	1	0	2	5	3	5	4
PUR4_HUMAN	PFAS	2	5	2	0	0	0	4	7
SC24C_HUMAN	SEC24C	4	7	0	0	0	0	5	6
XPO1_HUMAN	XPO1	6	7	0	0	0	0	4	3
RL3_HUMAN	RPL3	3	1	4	1	2	2	2	2
RS13_HUMAN	RPS13	4	6	2	5	2	2	0	0
GUAA_HUMAN	GMPS	0	1	0	4	0	2	7	3
TCPD_HUMAN	CCT4	0	6	1	1	0	0	3	0
PTBP2_HUMAN	PTBP2	6	11	5	4	4	5	5	3
LARP4_HUMAN	LARP4	0	6	1	3	2	0	0	2
SF3B3_HUMAN	SF3B3	4	2	0	2	0	0	4	6
VINC_HUMAN	VCL	2	8	0	1	0	0	5	2
AHNK2_HUMAN	AHNAK2	5	5	0	3	0	0	0	2
TBB4B_HUMAN	TUBB4B	12	28	18	0	4	5	10	13
RBM15_HUMAN	RBM15	0	10	1	1	1	2	1	1
RBM3_HUMAN	RBM3	6	2	4	4	1	0	0	3
HBA_HUMAN	HBA1	1	5	1	4	5	0	1	2
PPIA_HUMAN	PPIA	0	6	5	3	3	1	1	0
MPRD_HUMAN	M6PR	1	3	7	3	0	0	1	0
HNRH2_HUMAN	HNRNPH2	18	41	22	17	0	9	0	0
TCPB_HUMAN	CCT2	0	6	0	1	4	0	6	1
GFPT1_HUMAN	GFPT1	2	12	0	0	3	0	3	0
SRSF3_HUMAN	SRSF3	7	0	6	4	0	5	1	1
DDX24_HUMAN	DDX24	1	3	0	1	1	0	2	2
CLU_HUMAN	CLUH	2	4	0	0	0	0	6	4
H4_HUMAN	HIST1H4A	3	0	1	4	2	6	1	1
RL24_HUMAN	RPL24	3	4	1	2	3	2	0	3
RBM28_HUMAN	RBM28	3	3	0	3	4	2	0	2
RS19_HUMAN	RPS19	6	0	0	1	2	2	1	4
SRSF9_HUMAN	SRSF9	4	3	3	7	0	1	1	0
NOL6_HUMAN	NOL6	2	3	1	0	0	0	5	5
XRN2_HUMAN	XRN2	3	6	1	3	0	1	2	0
PAF1_HUMAN	PAF1	3	1	4	5	1	0	1	0
CCAR2_HUMAN	CCAR2	5	6	1	0	0	0	2	2
RINI_HUMAN	RNH1	3	5	1	0	0	0	2	4
ECHA_HUMAN	HADHA	0	11	0	1	0	0	2	1
RBMS3_HUMAN	RBMS3	0	4	5	0	2	0	4	0
PUR6_HUMAN	PAICS	0	4	0	0	0	0	2	5
DCTN1_HUMAN	DCTN1	0	7	0	0	0	0	0	0
RL14_HUMAN	RPL14	2	4	0	1	1	2	2	2
SRS10_HUMAN	SRSF10	2	3	3	2	2	2	0	1
LARP7_HUMAN	LARP7	0	3	1	2	3	5	0	1
PURB_HUMAN	PURB	1	4	1	1	2	0	0	0
SYQ_HUMAN	QARS	1	0	0	2	4	4	0	5
AKAP8_HUMAN	AKAP8	3	4	2	2	0	1	0	0
ZN326_HUMAN	ZNF326	0	9	0	3	2	0	0	1
COPA_HUMAN	COPA	0	5	0	2	0	0	5	3
PDIA4_HUMAN	PDIA4	1	3	2	3	2	2	0	2
RL11_HUMAN	RPL11	1	2	3	3	0	1	2	2
HSPB1_HUMAN	HSPB1	1	0	1	1	4	3	2	2
SUMO4_HUMAN	SUMO4	1	0	2	2	1	1	5	2
CSTF2_HUMAN	CSTF2	4	3	15	20	27	26	0	23
UBP5_HUMAN	USP5	2	2	1	2	0	0	3	5
HXK1_HUMAN	HK1	2	5	1	2	0	0	2	2
SRSF5_HUMAN	SRSF5	0	13	0	0	6	7	3	5
NOP2_HUMAN	NOP2	2	7	0	1	2	0	0	0
RS20_HUMAN	RPS20	2	5	1	1	0	2	0	2
ZRAB2_HUMAN	ZRANB2	3	1	3	3	0	0	1	1
RL19_HUMAN	RPL19	2	3	3	0	1	0	1	2
RLA0_HUMAN	RPLP0	2	0	2	4	0	0	3	2
4F2_HUMAN	SLC3A2	0	1	3	4	2	2	0	0
DDX27_HUMAN	DDX27	0	4	0	0	2	1	1	1
ALDOA_HUMAN	ALDOA	2	4	0	2	0	0	3	1
RM01_HUMAN	MRPL1	0	3	0	1	2	1	0	1
GSTP1_HUMAN	GSTP1	2	5	0	5	0	0	0	2
RBM12_HUMAN	RBM12	3	2	2	0	0	0	1	0
RL13A_HUMAN	RPL13A	0	4	4	0	0	1	0	0
PRDX6_HUMAN	PRDX6	2	0	0	0	0	0	0	0
HMX3_HUMAN	HMX3	1	2	1	1	2	1	1	1
SPS2L_HUMAN	SPATS2L	2	1	2	2	2	0	1	2
HMGB1_HUMAN	HMGB1	2	0	0	1	2	2	3	3
NICA_HUMAN	NCSTN	2	0	2	3	2	2	2	0
1433Z_HUMAN	YWHAZ	1	0	1	0	5	0	2	4
NSUN2_HUMAN	NSUN2	1	4	0	1	1	0	0	0
PALLD_HUMAN	PALLD	1	1	0	0	0	0	1	3
IMDH2_HUMAN	IMPDH2	1	6	3	0	0	1	0	0
SYYC_HUMAN	YARS	1	5	0	0	0	2	0	2
TNPO1_HUMAN	TNPO1	0	6	0	1	0	0	4	0
WDR75_HUMAN	WDR75	0	3	0	0	0	0	1	0
STAU2_HUMAN	STAU2	0	0	0	2	0	0	0	0
RL23A_HUMAN	RPL23A	3	0	0	2	1	2	2	2
SET_HUMAN	SET	1	4	3	2	1	1	0	0
EFTU_HUMAN	TUFM	0	0	4	3	2	0	1	2
RL7A_HUMAN	RPL7A	2	0	2	3	3	0	0	0
U2AF1_HUMAN (+1)	U2AF1	2	5	0	0	0	0	2	2
ELAV2_HUMAN	ELAVL2	0	9	4	3	0	3	0	0
TCPH_HUMAN	CCT7	4	0	3	0	0	0	3	0
RS10_HUMAN	RPS10	0	8	2	0	2	0	0	0
PSMD2_HUMAN	PSMD2	3	2	1	0	0	1	2	2
NOG1_HUMAN	GTPBP4	1	5	0	2	0	1	1	0
SYTC_HUMAN	TARS	0	2	4	1	0	1	2	0
MSH6_HUMAN	MSH6	2	3	1	0	0	0	0	2
RM37_HUMAN	MRPL37	2	4	2	3	0	0	0	0
PUR2_HUMAN	GART	1	5	2	0	0	0	1	0
YTHD2_HUMAN	YTHDF2	5	1	2	0	0	1	0	0
ZYX_HUMAN	ZYX	0	4	1	0	0	0	4	1
KIF23_HUMAN	KIF23	3	4	0	3	0	0	0	0
NSUN5_HUMAN	NSUN5	2	5	1	0	0	0	0	0
RMXL1_HUMAN	RBMXL1	21	27	15	0	16	0	12	0
SERA_HUMAN	PHGDH	0	6	0	0	0	1	0	1
SAHH_HUMAN	AHCY	0	7	0	0	0	0	2	0
UTP20_HUMAN	UTP20	0	7	0	0	0	0	0	0
BTF3_HUMAN	BTF3	2	1	1	0	1	1	1	2
RS25_HUMAN	RPS25	3	0	1	2	2	2	0	0
TCPA_HUMAN	TCP1	3	5	0	1	0	0	1	0
RBM39_HUMAN	RBM39	0	0	3	3	0	0	2	1
TENA_HUMAN	TNC	1	0	1	0	2	3	0	0
IQGA1_HUMAN	IQGAP1	0	2	0	0	0	0	2	3
TKT_HUMAN	TKT	0	5	1	0	0	0	4	0
SEC62_HUMAN	SEC62	0	0	0	0	0	4	2	2
TAGL2_HUMAN	TAGLN2	0	4	0	2	0	0	4	0
K2C6A_HUMAN	KRT6A	31	34	0	0	0	0	0	0
SPTB2_HUMAN	SPTBN1	0	8	1	0	0	0	0	0
STAU1_HUMAN	STAU1	1	2	0	1	1	1	2	1
RL10_HUMAN	RPL10	2	0	2	0	1	2	0	1
RBM7_HUMAN	RBM7	1	2	0	0	1	0	2	3
PODXL_HUMAN	PODXL	0	1	1	0	1	1	0	4
HNRL2_HUMAN	HNRNPUL2	3	2	0	2	1	1	0	0
ACTN4_HUMAN	ACTN4	7	0	11	5	0	0	6	6
IMA1_HUMAN	KPNA2	2	4	1	0	0	0	0	2
PPIB_HUMAN	PPIB	0	3	0	0	0	1	2	2
RBMS2_HUMAN	RBMS2	2	4	2	1	0	0	0	0
HTSF1_HUMAN	HTATSF1	0	0	0	0	2	2	4	0
ATX2L_HUMAN	ATXN2L	0	5	0	0	0	0	1	1
SYLC_HUMAN	LARS	1	3	1	0	0	0	0	1
DHX29_HUMAN	DHX29	0	4	1	0	0	2	0	0
TGM2_HUMAN	TGM2	1	0	1	0	1	0	0	0
CAND1_HUMAN	CAND1	0	0	0	0	0	0	3	4
PRDX3_HUMAN	PRDX3	1	1	0	0	0	0	0	0
DSRAD_HUMAN	ADAR	1	7	0	0	0	0	0	0
K1H1_HUMAN	KRT31	0	11	0	0	0	0	0	0
RL23_HUMAN	RPL23	0	3	1	1	1	0	1	1
PHB_HUMAN	PHB	1	1	1	2	0	0	1	2
CISY_HUMAN	CS	1	0	2	2	0	0	2	1
PRDX4_HUMAN	PRDX4	4	4	0	2	0	0	3	0
AN32E_HUMAN	ANP32E	2	3	0	1	1	0	0	0
NOP16_HUMAN	NOP16	0	5	1	1	0	0	0	1
RL17_HUMAN	RPL17	0	4	2	1	0	1	0	0
PGK1_HUMAN	PGK1	0	0	1	0	0	0	1	4
TBL3_HUMAN	TBL3	0	3	0	0	0	0	2	2
FA98A_HUMAN	FAM98A	0	5	3	0	0	0	0	0
PESC_HUMAN	PES1	0	6	0	0	0	1	0	0
PUM2_HUMAN	PUM2	0	12	7	0	0	0	0	0
SMD3_HUMAN	SNRPD3	1	1	0	1	2	1	1	0
RBM24_HUMAN (+1)	RBM24	1	0	2	1	0	0	1	1
RAB1A_HUMAN (+1)	RAB1A	1	1	2	1	0	0	0	1
SAFB1_HUMAN	SAFB	2	1	0	1	1	0	0	2
1433T_HUMAN	YWHAQ	0	2	0	0	6	0	2	3
BYST_HUMAN	BYSL	0	0	0	1	0	0	3	2
U5S1_HUMAN	EFTUD2	4	1	0	0	0	0	7	0
NOP56_HUMAN	NOP56	4	0	0	0	0	0	1	1
RL22L_HUMAN	RPL22L1	3	2	0	0	1	0	0	0
PDC6I_HUMAN	PDCD6IP	1	3	0	0	0	0	0	3
SF3A1_HUMAN	SF3A1	1	2	0	0	0	0	1	0
SRSF4_HUMAN	SRSF4	0	0	0	0	13	12	0	18
IF2A_HUMAN	EIF2S1	0	4	0	0	2	0	0	1
TCPZ_HUMAN	CCT6A	0	3	0	0	0	1	0	1
GAR1_HUMAN	GAR1	0	4	0	0	0	0	2	0
NPA1P_HUMAN	URB1	0	1	0	0	0	0	0	2
CTRO_HUMAN	CIT	1	3	0	0	0	0	0	0
DNJA1_HUMAN	DNAJA1	0	2	0	0	0	0	0	5
P42285|SK2L2_HUMAN		0	2	0	0	0	0	0	2
RL1D1_HUMAN	RSL1D1	0	4	0	0	1	0	0	0
DKC1_HUMAN	DKC1	0	2	1	1	0	0	1	1
TRY3_HUMAN	PRSS3	1	2	2	0	4	1	3	0
SRS11_HUMAN	SRSF11	2	1	1	1	0	0	0	0
GANAB_HUMAN	GANAB	2	1	0	1	0	0	1	0
ITA3_HUMAN	ITGA3	0	0	1	2	0	0	1	1
EZRI_HUMAN	EZR	0	2	0	2	0	0	2	0
