Mass	query	Uniprot.ID	Status	Protein.names	Gene.names	Organism	Length	logFC	logCPM	F	PValue	FDR	NCL.A	NCL.B	Unstarved.A	Unstarved.B	Starved.A	Starved.B	Insulin.A	Insulin.B
ENOA_HUMAN	47	ENOA_HUMAN	P06733	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434	1.33003395284686	10.5620443474487	29.2121859340303	0.000290524136520045	0.00887419180643048	0	0	8	10	9	10	28	24
RRP5_HUMAN	209	RRP5_HUMAN	Q14690	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	PDCD11 KIAA0185	Homo sapiens (Human)	1871	0.277048184856476	15.2046692355193	25.4142912409209	0.000492404591982897	0.0137873285755211	81	82	426	420	372	349	466	478
NPM_HUMAN	33	NPM_HUMAN	P06748	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294	-0.680932540130491	12.6352005697788	24.5320740188978	0.000561301539132049	0.0145074859344899	10	15	80	82	76	74	53	48
MK67I_HUMAN	34	MK67I_HUMAN	Q9BYG3	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	NIFK MKI67IP NOPP34	Homo sapiens (Human)	293	-2.43001245411258	9.26140491755315	21.7028623268294	0.00101465806545708	0.0226978956719768	0	0	5	5	8	8	1	2
RL31_HUMAN	14	RL31_HUMAN	P62899	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31	Homo sapiens (Human)	125	-2.21114828976532	9.57627647918921	27.4696109942066	0.0010408319436504	0.0226978956719768	0	0	9	8	9	9	2	2
H4_HUMAN	11	H4_HUMAN	P62805	reviewed	Histone H4	HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4	Homo sapiens (Human)	103	-1.15098729743955	11.2701963512208	20.4494011741383	0.00108085217485604	0.0226978956719768	0	0	25	33	29	35	18	13
VIME_HUMAN	54	VIME_HUMAN	P08670	reviewed	Vimentin	VIM	Homo sapiens (Human)	466	1.80146948936209	9.51854447870566	19.7474878103141	0.00122094462818799	0.0235720163828144	0	0	1	2	2	5	13	14
ELAV1_HUMAN	36	ELAV1_HUMAN	Q15717	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	Homo sapiens (Human)	326	-0.550275323311473	13.4488946562525	19.5564388334843	0.00126278659193649	0.0235720163828144	0	0	114	131	126	156	99	109
RL6_HUMAN	33	RL6_HUMAN	Q02878	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	288	-0.80707552418035	11.6453545265189	18.7747200185519	0.00145299365195524	0.0256950456345768	0	0	29	34	40	46	28	25
RL32_HUMAN	16	RL32_HUMAN	P62910	reviewed	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	RPL32 PP9932	Homo sapiens (Human)	135	-3.3467430623535	9.39571556120229	17.9811603697815	0.00168241607680251	0.0282645900902821	0	0	2	8	11	10	2	0
ACTG_HUMAN	42	ACTG_HUMAN	P63261	reviewed	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Homo sapiens (Human)	375	0.802579699135723	11.4273885880729	20.2049560033616	0.00193848320131286	0.0310157312210058	18	18	23	19	23	22	40	45
RSMB_HUMAN	34	RSMB_HUMAN	P14678	reviewed	Small nuclear ribonucleoprotein-associated proteins B and B' (snRNP-B) (Sm protein B/B') (Sm-B/B') (SmB/B')	SNRPB COD SNRPB1	Homo sapiens (Human)	240	-1.17495041725958	10.7742183628622	19.7425054891312	0.00222297440206722	0.0339508817770266	0	0	25	21	18	22	10	9
SRSF7_HUMAN	27	SRSF7_HUMAN	Q16629	reviewed	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	SRSF7 SFRS7	Homo sapiens (Human)	238	-1.43865329407075	10.2076326653809	19.6010551186738	0.00264170398855699	0.0378149451055772	0	0	12	16	12	16	5	6
NUCL_HUMAN	77	NUCL_HUMAN	P19338	reviewed	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710	-0.164912996951115	16.2475188887731	15.5387880732953	0.00272033742464295	0.0378149451055772	11	16	979	1004	844	787	744	828
AMPN_HUMAN	110	AMPN_HUMAN	P15144	reviewed	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	ANPEP APN CD13 PEPN	Homo sapiens (Human)	967	6.23585594954599	9.11329176228075	16.43018549804	0.00281361198702211	0.0378149451055772	0	0	2	4	0	0	15	4
KIF14_HUMAN	186	KIF14_HUMAN	Q15058	reviewed	Kinesin-like protein KIF14	KIF14 KIAA0042	Homo sapiens (Human)	1648	-1.46689138554423	9.68522751677885	19.029580434061	0.00325457418807042	0.0420591125842946	0	0	4	3	12	14	6	4
RS8_HUMAN	24	RS8_HUMAN	P62241	reviewed	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208	-1.30141652065851	10.1892615767018	19.6597493418015	0.00398879585254368	0.0496383483872103	0	0	12	11	13	17	7	6
CTRO_HUMAN	231	CTRO_HUMAN	O14578	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027	-1.06780782691939	10.2789177357613	19.4065660709984	0.00416561957496713	0.0499874348996056	0	0	5	4	23	18	10	11
